
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:52:53 2026
Timers Off: Mon Aug 10 18:53:10 2026

Wall Time:       17.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.550u      0.017s      0.407w      1 calls
build grid                          :      3.367u      0.017s      0.295w      1 calls
post-process grid                   :      0.183u      0.000s      0.112w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.031w     10 calls
DFH: initialize()                   :      9.617u      0.733s      1.808w      1 calls
DFH: AO Construction                :      1.583u      0.017s      0.314w     23 calls
DFH: AO-Met. Contraction            :      6.000u      0.567s      0.679w     23 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.033w      1 calls
HF: Guess                           :      0.067u      0.067s      0.048w      1 calls
SAD Guess                           :      0.067u      0.067s      0.047w      1 calls
HF: Form G                          :    154.317u      0.967s     12.656w     12 calls
RV: Form V                          :    123.750u      0.583s     10.027w     12 calls
Properties                          :     41.949p                          55488 calls
Functional                          :      4.113p                          55488 calls
V_xc                                :     34.006p                          55488 calls
JK: D                               :      0.067u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     30.500u      0.367s      2.616w     12 calls
DFH: compute_JK()                   :     30.500u      0.367s      2.616w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.267u      0.033s      0.187w     24 calls
DFH: compute_K                      :     28.133u      0.083s      2.280w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.917u      0.167s      0.557w     11 calls
HF: Form C                          :      0.950u      0.683s      0.551w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.550u      0.017s      0.407w      1 calls
| build grid                        :      3.367u      0.017s      0.295w      1 calls
| post-process grid                 :      0.183u      0.000s      0.112w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      1 calls
DFH: initialize()                   :      9.617u      0.733s      1.808w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.583u      0.017s      0.314w     23 calls
| DFH: AO-Met. Contraction          :      6.000u      0.567s      0.679w     23 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.033w      1 calls
HF: Guess                           :      0.067u      0.067s      0.048w      1 calls
| SAD Guess                         :      0.067u      0.067s      0.047w      1 calls
HF: Form G                          :    154.317u      0.967s     12.656w     12 calls
| RV: Form V                        :    123.750u      0.583s     10.027w     12 calls
| | Properties                      :     41.949p                          55488 calls
| | Functional                      :      4.113p                          55488 calls
| | V_xc                            :     34.006p                          55488 calls
| JK: D                             :      0.067u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     30.500u      0.367s      2.616w     12 calls
| | DFH: compute_JK()               :     30.500u      0.367s      2.616w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.267u      0.033s      0.187w     24 calls
| | | DFH: compute_K                :     28.133u      0.083s      2.280w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.917u      0.167s      0.557w     11 calls
HF: Form C                          :      0.950u      0.683s      0.551w     11 calls

**************************************************************************************
