
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:53:13 2026
Timers Off: Mon Aug 10 18:53:30 2026

Wall Time:       17.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.633u      0.033s      0.395w      1 calls
build grid                          :      3.467u      0.017s      0.288w      1 calls
post-process grid                   :      0.167u      0.017s      0.107w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.032w     10 calls
DFH: initialize()                   :     10.983u      0.800s      1.956w      1 calls
DFH: AO Construction                :      1.950u      0.017s      0.375w     23 calls
DFH: AO-Met. Contraction            :      6.983u      0.633s      0.760w     23 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.045w      1 calls
HF: Guess                           :      0.100u      0.100s      0.069w      1 calls
SAD Guess                           :      0.083u      0.100s      0.068w      1 calls
HF: Form G                          :    157.850u      0.850s     12.737w     12 calls
RV: Form V                          :    126.783u      0.550s     10.011w     12 calls
Properties                          :     41.603p                          55332 calls
Functional                          :      4.096p                          55332 calls
V_xc                                :     34.236p                          55332 calls
JK: D                               :      0.033u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     31.000u      0.300s      2.716w     12 calls
DFH: compute_JK()                   :     31.000u      0.300s      2.716w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.117u      0.017s      0.178w     24 calls
DFH: compute_K                      :     28.833u      0.067s      2.394w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.967u      0.167s      0.556w     11 calls
HF: Form C                          :      0.950u      0.633s      0.549w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.633u      0.033s      0.395w      1 calls
| build grid                        :      3.467u      0.017s      0.288w      1 calls
| post-process grid                 :      0.167u      0.017s      0.107w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      1 calls
DFH: initialize()                   :     10.983u      0.800s      1.956w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.950u      0.017s      0.375w     23 calls
| DFH: AO-Met. Contraction          :      6.983u      0.633s      0.760w     23 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.045w      1 calls
HF: Guess                           :      0.100u      0.100s      0.069w      1 calls
| SAD Guess                         :      0.083u      0.100s      0.068w      1 calls
HF: Form G                          :    157.850u      0.850s     12.737w     12 calls
| RV: Form V                        :    126.783u      0.550s     10.011w     12 calls
| | Properties                      :     41.603p                          55332 calls
| | Functional                      :      4.096p                          55332 calls
| | V_xc                            :     34.236p                          55332 calls
| JK: D                             :      0.033u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     31.000u      0.300s      2.716w     12 calls
| | DFH: compute_JK()               :     31.000u      0.300s      2.716w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.117u      0.017s      0.178w     24 calls
| | | DFH: compute_K                :     28.833u      0.067s      2.394w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.967u      0.167s      0.556w     11 calls
HF: Form C                          :      0.950u      0.633s      0.549w     11 calls

**************************************************************************************
