
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:53:33 2026
Timers Off: Mon Aug 10 18:53:50 2026

Wall Time:       17.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.600u      0.017s      0.395w      1 calls
build grid                          :      3.433u      0.000s      0.290w      1 calls
post-process grid                   :      0.167u      0.017s      0.105w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.032w     10 calls
DFH: initialize()                   :     10.567u      0.867s      1.941w      1 calls
DFH: AO Construction                :      1.883u      0.033s      0.366w     24 calls
DFH: AO-Met. Contraction            :      6.650u      0.683s      0.770w     24 calls
HF: Form core H                     :      0.150u      0.017s      0.014w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.040w      1 calls
HF: Guess                           :      0.083u      0.083s      0.057w      1 calls
SAD Guess                           :      0.083u      0.083s      0.056w      1 calls
HF: Form G                          :    155.417u      0.867s     12.409w     12 calls
RV: Form V                          :    124.967u      0.583s      9.771w     12 calls
Properties                          :     40.682p                          55068 calls
Functional                          :      4.018p                          55068 calls
V_xc                                :     33.276p                          55068 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     30.450u      0.267s      2.631w     12 calls
DFH: compute_JK()                   :     30.450u      0.267s      2.631w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.183u      0.033s      0.182w     24 calls
DFH: compute_K                      :     28.183u      0.083s      2.306w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.950u      0.183s      0.526w     11 calls
HF: Form C                          :      0.950u      0.617s      0.546w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.600u      0.017s      0.395w      1 calls
| build grid                        :      3.433u      0.000s      0.290w      1 calls
| post-process grid                 :      0.167u      0.017s      0.105w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      1 calls
DFH: initialize()                   :     10.567u      0.867s      1.941w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.883u      0.033s      0.366w     24 calls
| DFH: AO-Met. Contraction          :      6.650u      0.683s      0.770w     24 calls
HF: Form core H                     :      0.150u      0.017s      0.014w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.040w      1 calls
HF: Guess                           :      0.083u      0.083s      0.057w      1 calls
| SAD Guess                         :      0.083u      0.083s      0.056w      1 calls
HF: Form G                          :    155.417u      0.867s     12.409w     12 calls
| RV: Form V                        :    124.967u      0.583s      9.771w     12 calls
| | Properties                      :     40.682p                          55068 calls
| | Functional                      :      4.018p                          55068 calls
| | V_xc                            :     33.276p                          55068 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     30.450u      0.267s      2.631w     12 calls
| | DFH: compute_JK()               :     30.450u      0.267s      2.631w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.183u      0.033s      0.182w     24 calls
| | | DFH: compute_K                :     28.183u      0.083s      2.306w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.950u      0.183s      0.526w     11 calls
HF: Form C                          :      0.950u      0.617s      0.546w     11 calls

**************************************************************************************
