
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:53:54 2026
Timers Off: Mon Aug 10 18:54:10 2026

Wall Time:       16.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.550u      0.033s      0.396w      1 calls
build grid                          :      3.383u      0.017s      0.297w      1 calls
post-process grid                   :      0.167u      0.017s      0.099w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.031w     10 calls
DFH: initialize()                   :     10.050u      0.850s      1.857w      1 calls
DFH: AO Construction                :      1.750u      0.017s      0.327w     23 calls
DFH: AO-Met. Contraction            :      6.250u      0.683s      0.713w     23 calls
HF: Form core H                     :      0.133u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.035w      1 calls
HF: Guess                           :      0.067u      0.083s      0.050w      1 calls
SAD Guess                           :      0.067u      0.083s      0.049w      1 calls
HF: Form G                          :    149.767u      0.767s     11.836w     12 calls
RV: Form V                          :    120.567u      0.467s      9.385w     12 calls
Properties                          :     39.007p                          55584 calls
Functional                          :      3.913p                          55584 calls
V_xc                                :     31.945p                          55584 calls
JK: D                               :      0.033u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :     29.150u      0.283s      2.442w     12 calls
DFH: compute_JK()                   :     29.150u      0.283s      2.442w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.133u      0.000s      0.171w     24 calls
DFH: compute_K                      :     26.950u      0.117s      2.134w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.167s      0.470w     11 calls
HF: Form C                          :      0.950u      0.633s      0.549w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.550u      0.033s      0.396w      1 calls
| build grid                        :      3.383u      0.017s      0.297w      1 calls
| post-process grid                 :      0.167u      0.017s      0.099w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      1 calls
DFH: initialize()                   :     10.050u      0.850s      1.857w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.015w      9 calls
| DFH: AO Construction              :      1.750u      0.017s      0.327w     23 calls
| DFH: AO-Met. Contraction          :      6.250u      0.683s      0.713w     23 calls
HF: Form core H                     :      0.133u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.035w      1 calls
HF: Guess                           :      0.067u      0.083s      0.050w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.049w      1 calls
HF: Form G                          :    149.767u      0.767s     11.836w     12 calls
| RV: Form V                        :    120.567u      0.467s      9.385w     12 calls
| | Properties                      :     39.007p                          55584 calls
| | Functional                      :      3.913p                          55584 calls
| | V_xc                            :     31.945p                          55584 calls
| JK: D                             :      0.033u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :     29.150u      0.283s      2.442w     12 calls
| | DFH: compute_JK()               :     29.150u      0.283s      2.442w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.133u      0.000s      0.171w     24 calls
| | | DFH: compute_K                :     26.950u      0.117s      2.134w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.167s      0.470w     11 calls
HF: Form C                          :      0.950u      0.633s      0.549w     11 calls

**************************************************************************************
