
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:54:14 2026
Timers Off: Mon Aug 10 18:54:31 2026

Wall Time:       17.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.617u      0.033s      0.393w      1 calls
build grid                          :      3.450u      0.017s      0.292w      1 calls
post-process grid                   :      0.167u      0.017s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.032w     10 calls
DFH: initialize()                   :      9.717u      0.717s      1.831w      1 calls
DFH: AO Construction                :      1.667u      0.000s      0.325w     24 calls
DFH: AO-Met. Contraction            :      5.967u      0.567s      0.682w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.032w      1 calls
HF: Guess                           :      0.067u      0.083s      0.047w      1 calls
SAD Guess                           :      0.067u      0.083s      0.046w      1 calls
HF: Form G                          :    153.867u      1.033s     13.093w     12 calls
RV: Form V                          :    123.567u      0.700s     10.373w     12 calls
Properties                          :     43.260p                          55332 calls
Functional                          :      4.234p                          55332 calls
V_xc                                :     35.237p                          55332 calls
JK: D                               :      0.117u      0.000s      0.034w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     30.167u      0.300s      2.678w     12 calls
DFH: compute_JK()                   :     30.167u      0.300s      2.678w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.250u      0.017s      0.194w     24 calls
DFH: compute_K                      :     27.833u      0.100s      2.336w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.004w     12 calls
HF: DIIS                            :      0.900u      0.200s      0.488w     11 calls
HF: Form C                          :      0.967u      0.617s      0.559w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.617u      0.033s      0.393w      1 calls
| build grid                        :      3.450u      0.017s      0.292w      1 calls
| post-process grid                 :      0.167u      0.017s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      1 calls
DFH: initialize()                   :      9.717u      0.717s      1.831w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.667u      0.000s      0.325w     24 calls
| DFH: AO-Met. Contraction          :      5.967u      0.567s      0.682w     24 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.032w      1 calls
HF: Guess                           :      0.067u      0.083s      0.047w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.046w      1 calls
HF: Form G                          :    153.867u      1.033s     13.093w     12 calls
| RV: Form V                        :    123.567u      0.700s     10.373w     12 calls
| | Properties                      :     43.260p                          55332 calls
| | Functional                      :      4.234p                          55332 calls
| | V_xc                            :     35.237p                          55332 calls
| JK: D                             :      0.117u      0.000s      0.034w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     30.167u      0.300s      2.678w     12 calls
| | DFH: compute_JK()               :     30.167u      0.300s      2.678w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.250u      0.017s      0.194w     24 calls
| | | DFH: compute_K                :     27.833u      0.100s      2.336w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.004w     12 calls
HF: DIIS                            :      0.900u      0.200s      0.488w     11 calls
HF: Form C                          :      0.967u      0.617s      0.559w     11 calls

**************************************************************************************
