
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:54:54 2026
Timers Off: Mon Aug 10 18:55:17 2026

Wall Time:       22.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.950u      0.033s      0.466w      1 calls
build grid                          :      3.750u      0.017s      0.333w      1 calls
post-process grid                   :      0.200u      0.017s      0.133w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.026w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.035w     10 calls
DFH: initialize()                   :     16.317u      0.967s      3.154w      1 calls
DFH: AO Construction                :      3.100u      0.017s      0.693w     24 calls
DFH: AO-Met. Contraction            :     10.400u      0.783s      1.343w     24 calls
HF: Form core H                     :      0.183u      0.017s      0.049w      1 calls
HF: Form S/X                        :      0.133u      0.050s      0.085w      1 calls
HF: Guess                           :      0.167u      0.167s      0.144w      1 calls
SAD Guess                           :      0.167u      0.167s      0.141w      1 calls
HF: Form G                          :    165.550u      2.133s     15.988w     12 calls
RV: Form V                          :    131.617u      1.400s     12.700w     12 calls
Properties                          :     53.193p                          55188 calls
Functional                          :      5.244p                          55188 calls
V_xc                                :     42.192p                          55188 calls
JK: D                               :      0.017u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     33.917u      0.733s      3.279w     12 calls
DFH: compute_JK()                   :     33.917u      0.733s      3.279w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.383u      0.267s      0.261w     24 calls
DFH: compute_K                      :     31.450u      0.300s      2.795w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.933u      0.200s      0.644w     11 calls
HF: Form C                          :      0.950u      0.733s      0.568w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.950u      0.033s      0.466w      1 calls
| build grid                        :      3.750u      0.017s      0.333w      1 calls
| post-process grid                 :      0.200u      0.017s      0.133w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.026w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.018w      1 calls
DFH: initialize()                   :     16.317u      0.967s      3.154w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.017w      9 calls
| DFH: AO Construction              :      3.100u      0.017s      0.693w     24 calls
| DFH: AO-Met. Contraction          :     10.400u      0.783s      1.343w     24 calls
HF: Form core H                     :      0.183u      0.017s      0.049w      1 calls
HF: Form S/X                        :      0.133u      0.050s      0.085w      1 calls
HF: Guess                           :      0.167u      0.167s      0.144w      1 calls
| SAD Guess                         :      0.167u      0.167s      0.141w      1 calls
HF: Form G                          :    165.550u      2.133s     15.988w     12 calls
| RV: Form V                        :    131.617u      1.400s     12.700w     12 calls
| | Properties                      :     53.193p                          55188 calls
| | Functional                      :      5.244p                          55188 calls
| | V_xc                            :     42.192p                          55188 calls
| JK: D                             :      0.017u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     33.917u      0.733s      3.279w     12 calls
| | DFH: compute_JK()               :     33.917u      0.733s      3.279w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.383u      0.267s      0.261w     24 calls
| | | DFH: compute_K                :     31.450u      0.300s      2.795w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.933u      0.200s      0.644w     11 calls
HF: Form C                          :      0.950u      0.733s      0.568w     11 calls

**************************************************************************************
