
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:56:31 2026
Timers Off: Mon Aug 10 18:56:52 2026

Wall Time:       21.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.817u      0.033s      0.562w      1 calls
build grid                          :      4.567u      0.017s      0.408w      1 calls
post-process grid                   :      0.250u      0.017s      0.154w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.029w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.040w     10 calls
DFH: initialize()                   :     16.950u      1.150s      3.049w      1 calls
DFH: AO Construction                :      3.033u      0.017s      0.571w     22 calls
DFH: AO-Met. Contraction            :     10.867u      0.950s      1.230w     22 calls
HF: Form core H                     :      0.217u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.117u      0.083s      0.063w      1 calls
HF: Guess                           :      0.117u      0.117s      0.080w      1 calls
SAD Guess                           :      0.117u      0.117s      0.078w      1 calls
HF: Form G                          :    176.117u      1.433s     14.924w     12 calls
RV: Form V                          :    136.750u      0.833s     11.289w     12 calls
Properties                          :     49.101p                          59364 calls
Functional                          :      4.687p                          59364 calls
V_xc                                :     36.319p                          59364 calls
JK: D                               :      0.000u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     39.333u      0.600s      3.624w     12 calls
DFH: compute_JK()                   :     39.333u      0.600s      3.624w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.600u      0.033s      0.218w     24 calls
DFH: compute_K                      :     36.667u      0.300s      3.180w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.933u      0.233s      0.502w     11 calls
HF: Form C                          :      1.167u      0.700s      0.663w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.817u      0.033s      0.562w      1 calls
| build grid                        :      4.567u      0.017s      0.408w      1 calls
| post-process grid                 :      0.250u      0.017s      0.154w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.029w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      1 calls
DFH: initialize()                   :     16.950u      1.150s      3.049w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      9 calls
| DFH: AO Construction              :      3.033u      0.017s      0.571w     22 calls
| DFH: AO-Met. Contraction          :     10.867u      0.950s      1.230w     22 calls
HF: Form core H                     :      0.217u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.117u      0.083s      0.063w      1 calls
HF: Guess                           :      0.117u      0.117s      0.080w      1 calls
| SAD Guess                         :      0.117u      0.117s      0.078w      1 calls
HF: Form G                          :    176.117u      1.433s     14.924w     12 calls
| RV: Form V                        :    136.750u      0.833s     11.289w     12 calls
| | Properties                      :     49.101p                          59364 calls
| | Functional                      :      4.687p                          59364 calls
| | V_xc                            :     36.319p                          59364 calls
| JK: D                             :      0.000u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     39.333u      0.600s      3.624w     12 calls
| | DFH: compute_JK()               :     39.333u      0.600s      3.624w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.600u      0.033s      0.218w     24 calls
| | | DFH: compute_K                :     36.667u      0.300s      3.180w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.933u      0.233s      0.502w     11 calls
HF: Form C                          :      1.167u      0.700s      0.663w     11 calls

**************************************************************************************
