
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:56:56 2026
Timers Off: Mon Aug 10 18:57:16 2026

Wall Time:       20.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.233u      0.017s      0.471w      1 calls
build grid                          :      4.050u      0.017s      0.356w      1 calls
post-process grid                   :      0.183u      0.000s      0.115w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.027w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.037w     10 calls
DFH: initialize()                   :     12.883u      0.983s      2.295w      1 calls
DFH: AO Construction                :      2.133u      0.017s      0.381w     22 calls
DFH: AO-Met. Contraction            :      8.267u      0.800s      0.912w     22 calls
HF: Form core H                     :      0.167u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.048w      1 calls
HF: Guess                           :      0.067u      0.083s      0.059w      1 calls
SAD Guess                           :      0.067u      0.083s      0.058w      1 calls
HF: Form G                          :    178.250u      1.250s     14.691w     12 calls
RV: Form V                          :    140.167u      0.750s     11.389w     12 calls
Properties                          :     50.299p                          59064 calls
Functional                          :      4.533p                          59064 calls
V_xc                                :     36.020p                          59064 calls
JK: D                               :      0.000u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     38.083u      0.483s      3.293w     12 calls
DFH: compute_JK()                   :     38.083u      0.483s      3.293w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.567u      0.033s      0.206w     24 calls
DFH: compute_K                      :     35.450u      0.167s      2.869w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.002w     12 calls
HF: Form D                          :      0.033u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.967u      0.200s      0.540w     11 calls
HF: Form C                          :      1.133u      0.700s      0.654w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.233u      0.017s      0.471w      1 calls
| build grid                        :      4.050u      0.017s      0.356w      1 calls
| post-process grid                 :      0.183u      0.000s      0.115w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.027w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.018w      1 calls
DFH: initialize()                   :     12.883u      0.983s      2.295w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.019w      9 calls
| DFH: AO Construction              :      2.133u      0.017s      0.381w     22 calls
| DFH: AO-Met. Contraction          :      8.267u      0.800s      0.912w     22 calls
HF: Form core H                     :      0.167u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.048w      1 calls
HF: Guess                           :      0.067u      0.083s      0.059w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.058w      1 calls
HF: Form G                          :    178.250u      1.250s     14.691w     12 calls
| RV: Form V                        :    140.167u      0.750s     11.389w     12 calls
| | Properties                      :     50.299p                          59064 calls
| | Functional                      :      4.533p                          59064 calls
| | V_xc                            :     36.020p                          59064 calls
| JK: D                             :      0.000u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     38.083u      0.483s      3.293w     12 calls
| | DFH: compute_JK()               :     38.083u      0.483s      3.293w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.567u      0.033s      0.206w     24 calls
| | | DFH: compute_K                :     35.450u      0.167s      2.869w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.002w     12 calls
HF: Form D                          :      0.033u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.967u      0.200s      0.540w     11 calls
HF: Form C                          :      1.133u      0.700s      0.654w     11 calls

**************************************************************************************
