
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:57:17 2026
Timers Off: Mon Aug 10 18:57:39 2026

Wall Time:       22.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.533u      0.050s      0.753w      1 calls
build grid                          :      6.217u      0.033s      0.557w      1 calls
post-process grid                   :      0.317u      0.017s      0.195w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.031w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.043w     10 calls
DFH: initialize()                   :     17.967u      1.100s      3.152w      1 calls
DFH: AO Construction                :      3.333u      0.017s      0.615w     23 calls
DFH: AO-Met. Contraction            :     11.767u      0.900s      1.318w     23 calls
HF: Form core H                     :      0.200u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.117u      0.067s      0.064w      1 calls
HF: Guess                           :      0.117u      0.133s      0.080w      1 calls
SAD Guess                           :      0.117u      0.133s      0.078w      1 calls
HF: Form G                          :    183.167u      1.250s     15.180w     12 calls
RV: Form V                          :    144.733u      0.717s     11.749w     12 calls
Properties                          :     51.903p                          58392 calls
Functional                          :      4.453p                          58392 calls
V_xc                                :     37.257p                          58392 calls
JK: D                               :      0.033u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     38.383u      0.500s      3.422w     12 calls
DFH: compute_JK()                   :     38.383u      0.500s      3.422w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.450u      0.017s      0.216w     24 calls
DFH: compute_K                      :     35.783u      0.250s      2.985w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.000u      0.200s      0.498w     11 calls
HF: Form C                          :      1.100u      0.683s      0.661w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.533u      0.050s      0.753w      1 calls
| build grid                        :      6.217u      0.033s      0.557w      1 calls
| post-process grid                 :      0.317u      0.017s      0.195w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.031w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      1 calls
DFH: initialize()                   :     17.967u      1.100s      3.152w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      9 calls
| DFH: AO Construction              :      3.333u      0.017s      0.615w     23 calls
| DFH: AO-Met. Contraction          :     11.767u      0.900s      1.318w     23 calls
HF: Form core H                     :      0.200u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.117u      0.067s      0.064w      1 calls
HF: Guess                           :      0.117u      0.133s      0.080w      1 calls
| SAD Guess                         :      0.117u      0.133s      0.078w      1 calls
HF: Form G                          :    183.167u      1.250s     15.180w     12 calls
| RV: Form V                        :    144.733u      0.717s     11.749w     12 calls
| | Properties                      :     51.903p                          58392 calls
| | Functional                      :      4.453p                          58392 calls
| | V_xc                            :     37.257p                          58392 calls
| JK: D                             :      0.033u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     38.383u      0.500s      3.422w     12 calls
| | DFH: compute_JK()               :     38.383u      0.500s      3.422w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.450u      0.017s      0.216w     24 calls
| | | DFH: compute_K                :     35.783u      0.250s      2.985w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.000u      0.200s      0.498w     11 calls
HF: Form C                          :      1.100u      0.683s      0.661w     11 calls

**************************************************************************************
