
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:57:42 2026
Timers Off: Mon Aug 10 18:57:58 2026

Wall Time:       15.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.983u      0.033s      0.347w      1 calls
build grid                          :      2.833u      0.017s      0.252w      1 calls
post-process grid                   :      0.150u      0.017s      0.095w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.032w     10 calls
DFH: initialize()                   :      9.883u      0.883s      1.874w      1 calls
DFH: AO Construction                :      1.650u      0.000s      0.309w     22 calls
DFH: AO-Met. Contraction            :      6.133u      0.717s      0.725w     22 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.034w      1 calls
HF: Guess                           :      0.083u      0.100s      0.067w      1 calls
SAD Guess                           :      0.083u      0.100s      0.066w      1 calls
HF: Form G                          :    137.450u      0.933s     11.135w     12 calls
RV: Form V                          :    107.033u      0.600s      8.551w     12 calls
Properties                          :     35.758p                          51936 calls
Functional                          :      3.772p                          51936 calls
V_xc                                :     28.730p                          51936 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     30.383u      0.333s      2.573w     12 calls
DFH: compute_JK()                   :     30.383u      0.333s      2.573w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.083u      0.033s      0.170w     24 calls
DFH: compute_K                      :     28.200u      0.133s      2.240w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.200s      0.496w     11 calls
HF: Form C                          :      0.883u      0.583s      0.511w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.983u      0.033s      0.347w      1 calls
| build grid                        :      2.833u      0.017s      0.252w      1 calls
| post-process grid                 :      0.150u      0.017s      0.095w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.016w      1 calls
DFH: initialize()                   :      9.883u      0.883s      1.874w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.650u      0.000s      0.309w     22 calls
| DFH: AO-Met. Contraction          :      6.133u      0.717s      0.725w     22 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.034w      1 calls
HF: Guess                           :      0.083u      0.100s      0.067w      1 calls
| SAD Guess                         :      0.083u      0.100s      0.066w      1 calls
HF: Form G                          :    137.450u      0.933s     11.135w     12 calls
| RV: Form V                        :    107.033u      0.600s      8.551w     12 calls
| | Properties                      :     35.758p                          51936 calls
| | Functional                      :      3.772p                          51936 calls
| | V_xc                            :     28.730p                          51936 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     30.383u      0.333s      2.573w     12 calls
| | DFH: compute_JK()               :     30.383u      0.333s      2.573w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.083u      0.033s      0.170w     24 calls
| | | DFH: compute_K                :     28.200u      0.133s      2.240w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.200s      0.496w     11 calls
HF: Form C                          :      0.883u      0.583s      0.511w     11 calls

**************************************************************************************
