
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:58:17 2026
Timers Off: Mon Aug 10 18:58:34 2026

Wall Time:       16.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.100u      0.017s      0.366w      1 calls
build grid                          :      2.933u      0.000s      0.257w      1 calls
post-process grid                   :      0.167u      0.017s      0.108w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.025w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.034w     10 calls
DFH: initialize()                   :     13.183u      0.850s      2.299w      1 calls
DFH: AO Construction                :      2.433u      0.017s      0.431w     22 calls
DFH: AO-Met. Contraction            :      8.467u      0.683s      0.932w     22 calls
HF: Form core H                     :      0.150u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.100u      0.067s      0.050w      1 calls
HF: Guess                           :      0.133u      0.167s      0.106w      1 calls
SAD Guess                           :      0.133u      0.167s      0.103w      1 calls
HF: Form G                          :    142.983u      0.833s     11.364w     12 calls
RV: Form V                          :    112.400u      0.533s      8.781w     12 calls
Properties                          :     36.421p                          52236 calls
Functional                          :      3.721p                          52236 calls
V_xc                                :     29.911p                          52236 calls
JK: D                               :      0.033u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     30.550u      0.283s      2.574w     12 calls
DFH: compute_JK()                   :     30.550u      0.283s      2.574w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.067u      0.000s      0.172w     24 calls
DFH: compute_K                      :     28.433u      0.083s      2.244w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.200s      0.481w     11 calls
HF: Form C                          :      0.900u      0.600s      0.506w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.100u      0.017s      0.366w      1 calls
| build grid                        :      2.933u      0.000s      0.257w      1 calls
| post-process grid                 :      0.167u      0.017s      0.108w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.025w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.017w      1 calls
DFH: initialize()                   :     13.183u      0.850s      2.299w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.017w      9 calls
| DFH: AO Construction              :      2.433u      0.017s      0.431w     22 calls
| DFH: AO-Met. Contraction          :      8.467u      0.683s      0.932w     22 calls
HF: Form core H                     :      0.150u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.100u      0.067s      0.050w      1 calls
HF: Guess                           :      0.133u      0.167s      0.106w      1 calls
| SAD Guess                         :      0.133u      0.167s      0.103w      1 calls
HF: Form G                          :    142.983u      0.833s     11.364w     12 calls
| RV: Form V                        :    112.400u      0.533s      8.781w     12 calls
| | Properties                      :     36.421p                          52236 calls
| | Functional                      :      3.721p                          52236 calls
| | V_xc                            :     29.911p                          52236 calls
| JK: D                             :      0.033u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     30.550u      0.283s      2.574w     12 calls
| | DFH: compute_JK()               :     30.550u      0.283s      2.574w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.067u      0.000s      0.172w     24 calls
| | | DFH: compute_K                :     28.433u      0.083s      2.244w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.200s      0.481w     11 calls
HF: Form C                          :      0.900u      0.600s      0.506w     11 calls

**************************************************************************************
