
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:58:38 2026
Timers Off: Mon Aug 10 18:58:52 2026

Wall Time:       14.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.950u      0.017s      0.348w      1 calls
build grid                          :      2.783u      0.017s      0.248w      1 calls
post-process grid                   :      0.167u      0.000s      0.101w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.024w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.032w     10 calls
DFH: initialize()                   :      9.267u      0.783s      1.738w      1 calls
DFH: AO Construction                :      1.483u      0.017s      0.263w     21 calls
DFH: AO-Met. Contraction            :      5.700u      0.600s      0.638w     21 calls
HF: Form core H                     :      0.117u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.031w      1 calls
HF: Guess                           :      0.067u      0.067s      0.053w      1 calls
SAD Guess                           :      0.067u      0.067s      0.052w      1 calls
HF: Form G                          :    129.883u      0.717s     10.366w     12 calls
RV: Form V                          :    100.967u      0.450s      7.976w     12 calls
Properties                          :     32.706p                          52128 calls
Functional                          :      3.644p                          52128 calls
V_xc                                :     27.108p                          52128 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     28.900u      0.267s      2.383w     12 calls
DFH: compute_JK()                   :     28.900u      0.267s      2.383w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.000u      0.017s      0.161w     24 calls
DFH: compute_K                      :     26.850u      0.067s      2.072w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.050u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.217s      0.439w     11 calls
HF: Form C                          :      0.867u      0.550s      0.506w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.950u      0.017s      0.348w      1 calls
| build grid                        :      2.783u      0.017s      0.248w      1 calls
| post-process grid                 :      0.167u      0.000s      0.101w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.024w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      1 calls
DFH: initialize()                   :      9.267u      0.783s      1.738w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      1.483u      0.017s      0.263w     21 calls
| DFH: AO-Met. Contraction          :      5.700u      0.600s      0.638w     21 calls
HF: Form core H                     :      0.117u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.050u      0.050s      0.031w      1 calls
HF: Guess                           :      0.067u      0.067s      0.053w      1 calls
| SAD Guess                         :      0.067u      0.067s      0.052w      1 calls
HF: Form G                          :    129.883u      0.717s     10.366w     12 calls
| RV: Form V                        :    100.967u      0.450s      7.976w     12 calls
| | Properties                      :     32.706p                          52128 calls
| | Functional                      :      3.644p                          52128 calls
| | V_xc                            :     27.108p                          52128 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     28.900u      0.267s      2.383w     12 calls
| | DFH: compute_JK()               :     28.900u      0.267s      2.383w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.000u      0.017s      0.161w     24 calls
| | | DFH: compute_K                :     26.850u      0.067s      2.072w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.050u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.217s      0.439w     11 calls
HF: Form C                          :      0.867u      0.550s      0.506w     11 calls

**************************************************************************************
