
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:59:13 2026
Timers Off: Mon Aug 10 18:59:34 2026

Wall Time:       21.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.900u      0.033s      0.418w      1 calls
build grid                          :      3.733u      0.033s      0.311w      1 calls
post-process grid                   :      0.167u      0.000s      0.107w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.041w     10 calls
DFH: initialize()                   :     14.400u      1.167s      2.637w      1 calls
DFH: AO Construction                :      2.167u      0.017s      0.421w     25 calls
DFH: AO-Met. Contraction            :      9.300u      0.967s      1.053w     25 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.043w      1 calls
HF: Guess                           :      0.067u      0.083s      0.050w      1 calls
SAD Guess                           :      0.067u      0.083s      0.049w      1 calls
HF: Form G                          :    190.450u      1.767s     15.877w     12 calls
RV: Form V                          :    142.133u      1.000s     11.575w     12 calls
Properties                          :     50.636p                          56880 calls
Functional                          :      4.277p                          56880 calls
V_xc                                :     37.454p                          56880 calls
JK: D                               :      0.050u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     48.250u      0.750s      4.290w     12 calls
DFH: compute_JK()                   :     48.250u      0.750s      4.289w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.100u      0.033s      0.254w     24 calls
DFH: compute_K                      :     45.067u      0.400s      3.759w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.000u      0.200s      0.549w     11 calls
HF: Form C                          :      1.267u      0.717s      0.713w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.900u      0.033s      0.418w      1 calls
| build grid                        :      3.733u      0.033s      0.311w      1 calls
| post-process grid                 :      0.167u      0.000s      0.107w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      1 calls
DFH: initialize()                   :     14.400u      1.167s      2.637w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      9 calls
| DFH: AO Construction              :      2.167u      0.017s      0.421w     25 calls
| DFH: AO-Met. Contraction          :      9.300u      0.967s      1.053w     25 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.043w      1 calls
HF: Guess                           :      0.067u      0.083s      0.050w      1 calls
| SAD Guess                         :      0.067u      0.083s      0.049w      1 calls
HF: Form G                          :    190.450u      1.767s     15.877w     12 calls
| RV: Form V                        :    142.133u      1.000s     11.575w     12 calls
| | Properties                      :     50.636p                          56880 calls
| | Functional                      :      4.277p                          56880 calls
| | V_xc                            :     37.454p                          56880 calls
| JK: D                             :      0.050u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     48.250u      0.750s      4.290w     12 calls
| | DFH: compute_JK()               :     48.250u      0.750s      4.289w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.100u      0.033s      0.254w     24 calls
| | | DFH: compute_K                :     45.067u      0.400s      3.759w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.000u      0.200s      0.549w     11 calls
HF: Form C                          :      1.267u      0.717s      0.713w     11 calls

**************************************************************************************
