
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:00:03 2026
Timers Off: Mon Aug 10 19:00:29 2026

Wall Time:       25.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.983u      0.033s      0.435w      1 calls
build grid                          :      3.800u      0.033s      0.320w      1 calls
post-process grid                   :      0.183u      0.000s      0.116w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.041w     10 calls
DFH: initialize()                   :     19.067u      1.333s      3.292w      1 calls
DFH: AO Construction                :      3.300u      0.017s      0.620w     26 calls
DFH: AO-Met. Contraction            :     12.817u      1.117s      1.493w     26 calls
HF: Form core H                     :      0.217u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.133u      0.083s      0.072w      1 calls
HF: Guess                           :      0.133u      0.167s      0.096w      1 calls
SAD Guess                           :      0.133u      0.150s      0.094w      1 calls
HF: Form G                          :    214.367u      1.983s     18.467w     12 calls
RV: Form V                          :    162.967u      1.150s     13.789w     12 calls
Properties                          :     60.581p                          56772 calls
Functional                          :      4.707p                          56772 calls
V_xc                                :     44.483p                          56772 calls
JK: D                               :      0.017u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     51.383u      0.800s      4.664w     12 calls
DFH: compute_JK()                   :     51.383u      0.800s      4.664w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.050u      0.050s      0.273w     24 calls
DFH: compute_K                      :     48.183u      0.483s      4.095w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.917u      0.217s      0.597w     11 calls
HF: Form C                          :      1.283u      0.733s      0.717w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.983u      0.033s      0.435w      1 calls
| build grid                        :      3.800u      0.033s      0.320w      1 calls
| post-process grid                 :      0.183u      0.000s      0.116w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      1 calls
DFH: initialize()                   :     19.067u      1.333s      3.292w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      9 calls
| DFH: AO Construction              :      3.300u      0.017s      0.620w     26 calls
| DFH: AO-Met. Contraction          :     12.817u      1.117s      1.493w     26 calls
HF: Form core H                     :      0.217u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.133u      0.083s      0.072w      1 calls
HF: Guess                           :      0.133u      0.167s      0.096w      1 calls
| SAD Guess                         :      0.133u      0.150s      0.094w      1 calls
HF: Form G                          :    214.367u      1.983s     18.467w     12 calls
| RV: Form V                        :    162.967u      1.150s     13.789w     12 calls
| | Properties                      :     60.581p                          56772 calls
| | Functional                      :      4.707p                          56772 calls
| | V_xc                            :     44.483p                          56772 calls
| JK: D                             :      0.017u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     51.383u      0.800s      4.664w     12 calls
| | DFH: compute_JK()               :     51.383u      0.800s      4.664w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.050u      0.050s      0.273w     24 calls
| | | DFH: compute_K                :     48.183u      0.483s      4.095w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.917u      0.217s      0.597w     11 calls
HF: Form C                          :      1.283u      0.733s      0.717w     11 calls

**************************************************************************************
