
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:00:34 2026
Timers Off: Mon Aug 10 19:00:56 2026

Wall Time:       22.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.933u      0.033s      0.427w      1 calls
build grid                          :      3.767u      0.017s      0.316w      1 calls
post-process grid                   :      0.167u      0.017s      0.110w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.041w     10 calls
DFH: initialize()                   :     14.817u      1.217s      2.686w      1 calls
DFH: AO Construction                :      2.250u      0.000s      0.433w     24 calls
DFH: AO-Met. Contraction            :      9.650u      1.017s      1.073w     24 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.045w      1 calls
HF: Guess                           :      0.050u      0.083s      0.050w      1 calls
SAD Guess                           :      0.050u      0.083s      0.049w      1 calls
HF: Form G                          :    196.867u      1.633s     16.209w     12 calls
RV: Form V                          :    149.150u      0.900s     12.039w     12 calls
Properties                          :     52.198p                          57012 calls
Functional                          :      4.196p                          57012 calls
V_xc                                :     39.690p                          57012 calls
JK: D                               :      0.000u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.002w     12 calls
JK: JK                              :     47.717u      0.683s      4.158w     12 calls
DFH: compute_JK()                   :     47.717u      0.683s      4.158w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.050u      0.033s      0.254w     24 calls
DFH: compute_K                      :     44.517u      0.300s      3.615w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.967u      0.233s      0.631w     11 calls
HF: Form C                          :      1.317u      0.750s      0.723w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.933u      0.033s      0.427w      1 calls
| build grid                        :      3.767u      0.017s      0.316w      1 calls
| post-process grid                 :      0.167u      0.017s      0.110w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      1 calls
DFH: initialize()                   :     14.817u      1.217s      2.686w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      9 calls
| DFH: AO Construction              :      2.250u      0.000s      0.433w     24 calls
| DFH: AO-Met. Contraction          :      9.650u      1.017s      1.073w     24 calls
HF: Form core H                     :      0.150u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.045w      1 calls
HF: Guess                           :      0.050u      0.083s      0.050w      1 calls
| SAD Guess                         :      0.050u      0.083s      0.049w      1 calls
HF: Form G                          :    196.867u      1.633s     16.209w     12 calls
| RV: Form V                        :    149.150u      0.900s     12.039w     12 calls
| | Properties                      :     52.198p                          57012 calls
| | Functional                      :      4.196p                          57012 calls
| | V_xc                            :     39.690p                          57012 calls
| JK: D                             :      0.000u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.002w     12 calls
| JK: JK                            :     47.717u      0.683s      4.158w     12 calls
| | DFH: compute_JK()               :     47.717u      0.683s      4.158w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.050u      0.033s      0.254w     24 calls
| | | DFH: compute_K                :     44.517u      0.300s      3.615w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.967u      0.233s      0.631w     11 calls
HF: Form C                          :      1.317u      0.750s      0.723w     11 calls

**************************************************************************************
