
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:00:59 2026
Timers Off: Mon Aug 10 19:01:22 2026

Wall Time:       23.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.917u      0.017s      0.423w      1 calls
build grid                          :      3.750u      0.017s      0.312w      1 calls
post-process grid                   :      0.167u      0.000s      0.112w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.030w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.041w     10 calls
DFH: initialize()                   :     18.017u      1.167s      3.117w      1 calls
DFH: AO Construction                :      3.017u      0.017s      0.590w     26 calls
DFH: AO-Met. Contraction            :     12.133u      0.950s      1.368w     26 calls
HF: Form core H                     :      0.217u      0.017s      0.023w      1 calls
HF: Form S/X                        :      0.133u      0.067s      0.070w      1 calls
HF: Guess                           :      0.100u      0.117s      0.071w      1 calls
SAD Guess                           :      0.100u      0.117s      0.070w      1 calls
HF: Form G                          :    200.683u      1.567s     16.830w     12 calls
RV: Form V                          :    151.483u      0.917s     12.510w     12 calls
Properties                          :     54.853p                          57300 calls
Functional                          :      4.455p                          57300 calls
V_xc                                :     40.541p                          57300 calls
JK: D                               :      0.050u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     49.150u      0.650s      4.309w     12 calls
DFH: compute_JK()                   :     49.150u      0.650s      4.308w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.017u      0.017s      0.250w     24 calls
DFH: compute_K                      :     46.000u      0.333s      3.786w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.017s      0.002w     12 calls
HF: DIIS                            :      1.000u      0.217s      0.502w     11 calls
HF: Form C                          :      1.300u      0.733s      0.710w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.917u      0.017s      0.423w      1 calls
| build grid                        :      3.750u      0.017s      0.312w      1 calls
| post-process grid                 :      0.167u      0.000s      0.112w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.030w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      1 calls
DFH: initialize()                   :     18.017u      1.167s      3.117w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w      9 calls
| DFH: AO Construction              :      3.017u      0.017s      0.590w     26 calls
| DFH: AO-Met. Contraction          :     12.133u      0.950s      1.368w     26 calls
HF: Form core H                     :      0.217u      0.017s      0.023w      1 calls
HF: Form S/X                        :      0.133u      0.067s      0.070w      1 calls
HF: Guess                           :      0.100u      0.117s      0.071w      1 calls
| SAD Guess                         :      0.100u      0.117s      0.070w      1 calls
HF: Form G                          :    200.683u      1.567s     16.830w     12 calls
| RV: Form V                        :    151.483u      0.917s     12.510w     12 calls
| | Properties                      :     54.853p                          57300 calls
| | Functional                      :      4.455p                          57300 calls
| | V_xc                            :     40.541p                          57300 calls
| JK: D                             :      0.050u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     49.150u      0.650s      4.309w     12 calls
| | DFH: compute_JK()               :     49.150u      0.650s      4.308w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.017u      0.017s      0.250w     24 calls
| | | DFH: compute_K                :     46.000u      0.333s      3.786w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.017s      0.002w     12 calls
HF: DIIS                            :      1.000u      0.217s      0.502w     11 calls
HF: Form C                          :      1.300u      0.733s      0.710w     11 calls

**************************************************************************************
