
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:01:24 2026
Timers Off: Mon Aug 10 19:01:39 2026

Wall Time:       14.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.267u      0.033s      0.286w      1 calls
build grid                          :      2.133u      0.017s      0.203w      1 calls
post-process grid                   :      0.133u      0.017s      0.083w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.026w     10 calls
DFH: initialize()                   :      7.100u      0.833s      1.442w      1 calls
DFH: AO Construction                :      1.283u      0.000s      0.276w     22 calls
DFH: AO-Met. Contraction            :      4.283u      0.700s      0.542w     22 calls
HF: Form core H                     :      0.100u      0.000s      0.018w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.031w      1 calls
HF: Guess                           :      0.083u      0.117s      0.070w      1 calls
SAD Guess                           :      0.083u      0.117s      0.069w      1 calls
HF: Form G                          :    123.633u      0.983s     10.530w     12 calls
RV: Form V                          :    101.717u      0.633s      8.529w     12 calls
Properties                          :     35.359p                          46620 calls
Functional                          :      3.680p                          46620 calls
V_xc                                :     29.016p                          46620 calls
JK: D                               :      0.017u      0.017s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     21.900u      0.300s      1.989w     12 calls
DFH: compute_JK()                   :     21.900u      0.300s      1.988w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.733u      0.017s      0.157w     24 calls
DFH: compute_K                      :     20.117u      0.133s      1.720w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.183s      0.583w     11 calls
HF: Form C                          :      0.683u      0.500s      0.401w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.267u      0.033s      0.286w      1 calls
| build grid                        :      2.133u      0.017s      0.203w      1 calls
| post-process grid                 :      0.133u      0.017s      0.083w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      1 calls
DFH: initialize()                   :      7.100u      0.833s      1.442w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      9 calls
| DFH: AO Construction              :      1.283u      0.000s      0.276w     22 calls
| DFH: AO-Met. Contraction          :      4.283u      0.700s      0.542w     22 calls
HF: Form core H                     :      0.100u      0.000s      0.018w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.031w      1 calls
HF: Guess                           :      0.083u      0.117s      0.070w      1 calls
| SAD Guess                         :      0.083u      0.117s      0.069w      1 calls
HF: Form G                          :    123.633u      0.983s     10.530w     12 calls
| RV: Form V                        :    101.717u      0.633s      8.529w     12 calls
| | Properties                      :     35.359p                          46620 calls
| | Functional                      :      3.680p                          46620 calls
| | V_xc                            :     29.016p                          46620 calls
| JK: D                             :      0.017u      0.017s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     21.900u      0.300s      1.989w     12 calls
| | DFH: compute_JK()               :     21.900u      0.300s      1.988w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.733u      0.017s      0.157w     24 calls
| | | DFH: compute_K                :     20.117u      0.133s      1.720w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.183s      0.583w     11 calls
HF: Form C                          :      0.683u      0.500s      0.401w     11 calls

**************************************************************************************
