
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:01:40 2026
Timers Off: Mon Aug 10 19:01:55 2026

Wall Time:       14.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.867u      0.033s      0.377w      1 calls
build grid                          :      2.667u      0.017s      0.258w      1 calls
post-process grid                   :      0.200u      0.017s      0.118w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.029w     10 calls
DFH: initialize()                   :      8.317u      0.850s      1.658w      1 calls
DFH: AO Construction                :      1.633u      0.033s      0.348w     23 calls
DFH: AO-Met. Contraction            :      5.017u      0.683s      0.600w     23 calls
HF: Form core H                     :      0.117u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.037w      1 calls
HF: Guess                           :      0.100u      0.133s      0.075w      1 calls
SAD Guess                           :      0.100u      0.133s      0.074w      1 calls
HF: Form G                          :    123.817u      0.883s     10.570w     12 calls
RV: Form V                          :    102.900u      0.600s      8.704w     12 calls
Properties                          :     35.997p                          46848 calls
Functional                          :      3.750p                          46848 calls
V_xc                                :     29.681p                          46848 calls
JK: D                               :      0.033u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     20.883u      0.283s      1.854w     12 calls
DFH: compute_JK()                   :     20.883u      0.283s      1.854w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.717u      0.050s      0.155w     24 calls
DFH: compute_K                      :     19.167u      0.083s      1.589w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.850u      0.233s      0.519w     11 calls
HF: Form C                          :      0.717u      0.483s      0.398w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.867u      0.033s      0.377w      1 calls
| build grid                        :      2.667u      0.017s      0.258w      1 calls
| post-process grid                 :      0.200u      0.017s      0.118w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      1 calls
DFH: initialize()                   :      8.317u      0.850s      1.658w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      1.633u      0.033s      0.348w     23 calls
| DFH: AO-Met. Contraction          :      5.017u      0.683s      0.600w     23 calls
HF: Form core H                     :      0.117u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.037w      1 calls
HF: Guess                           :      0.100u      0.133s      0.075w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.074w      1 calls
HF: Form G                          :    123.817u      0.883s     10.570w     12 calls
| RV: Form V                        :    102.900u      0.600s      8.704w     12 calls
| | Properties                      :     35.997p                          46848 calls
| | Functional                      :      3.750p                          46848 calls
| | V_xc                            :     29.681p                          46848 calls
| JK: D                             :      0.033u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     20.883u      0.283s      1.854w     12 calls
| | DFH: compute_JK()               :     20.883u      0.283s      1.854w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.717u      0.050s      0.155w     24 calls
| | | DFH: compute_K                :     19.167u      0.083s      1.589w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.850u      0.233s      0.519w     11 calls
HF: Form C                          :      0.717u      0.483s      0.398w     11 calls

**************************************************************************************
