
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:02:15 2026
Timers Off: Mon Aug 10 19:02:30 2026

Wall Time:       14.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.300u      0.017s      0.279w      1 calls
build grid                          :      2.167u      0.017s      0.195w      1 calls
post-process grid                   :      0.133u      0.000s      0.083w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.019w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.017s      0.026w     10 calls
DFH: initialize()                   :      8.800u      0.900s      1.654w      1 calls
DFH: AO Construction                :      1.750u      0.000s      0.353w     21 calls
DFH: AO-Met. Contraction            :      5.483u      0.783s      0.643w     21 calls
HF: Form core H                     :      0.117u      0.017s      0.017w      1 calls
HF: Form S/X                        :      0.083u      0.033s      0.043w      1 calls
HF: Guess                           :      0.100u      0.150s      0.091w      1 calls
SAD Guess                           :      0.100u      0.133s      0.089w      1 calls
HF: Form G                          :    124.067u      1.033s     10.719w     12 calls
RV: Form V                          :    102.083u      0.717s      8.703w     12 calls
Properties                          :     36.327p                          46740 calls
Functional                          :      3.827p                          46740 calls
V_xc                                :     29.264p                          46740 calls
JK: D                               :      0.000u      0.017s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     21.983u      0.283s      2.006w     12 calls
DFH: compute_JK()                   :     21.983u      0.283s      2.006w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.767u      0.017s      0.161w     24 calls
DFH: compute_K                      :     20.167u      0.133s      1.729w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.117s      0.514w     11 calls
HF: Form C                          :      0.683u      0.567s      0.402w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.300u      0.017s      0.279w      1 calls
| build grid                        :      2.167u      0.017s      0.195w      1 calls
| post-process grid                 :      0.133u      0.000s      0.083w      1 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.019w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.013w      1 calls
DFH: initialize()                   :      8.800u      0.900s      1.654w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      9 calls
| DFH: AO Construction              :      1.750u      0.000s      0.353w     21 calls
| DFH: AO-Met. Contraction          :      5.483u      0.783s      0.643w     21 calls
HF: Form core H                     :      0.117u      0.017s      0.017w      1 calls
HF: Form S/X                        :      0.083u      0.033s      0.043w      1 calls
HF: Guess                           :      0.100u      0.150s      0.091w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.089w      1 calls
HF: Form G                          :    124.067u      1.033s     10.719w     12 calls
| RV: Form V                        :    102.083u      0.717s      8.703w     12 calls
| | Properties                      :     36.327p                          46740 calls
| | Functional                      :      3.827p                          46740 calls
| | V_xc                            :     29.264p                          46740 calls
| JK: D                             :      0.000u      0.017s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     21.983u      0.283s      2.006w     12 calls
| | DFH: compute_JK()               :     21.983u      0.283s      2.006w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.767u      0.017s      0.161w     24 calls
| | | DFH: compute_K                :     20.167u      0.133s      1.729w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.833u      0.117s      0.514w     11 calls
HF: Form C                          :      0.683u      0.567s      0.402w     11 calls

**************************************************************************************
