
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:02:30 2026
Timers Off: Mon Aug 10 19:02:45 2026

Wall Time:       14.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.983u      0.017s      0.387w      1 calls
build grid                          :      2.783u      0.017s      0.261w      1 calls
post-process grid                   :      0.200u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.022w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.029w     10 calls
DFH: initialize()                   :      8.367u      0.883s      1.693w      1 calls
DFH: AO Construction                :      1.633u      0.000s      0.351w     23 calls
DFH: AO-Met. Contraction            :      5.050u      0.750s      0.616w     23 calls
HF: Form core H                     :      0.117u      0.000s      0.014w      1 calls
HF: Form S/X                        :      0.083u      0.067s      0.041w      1 calls
HF: Guess                           :      0.083u      0.117s      0.073w      1 calls
SAD Guess                           :      0.083u      0.117s      0.072w      1 calls
HF: Form G                          :    123.333u      0.800s     10.303w     12 calls
RV: Form V                          :    102.533u      0.533s      8.453w     12 calls
Properties                          :     35.082p                          46836 calls
Functional                          :      3.760p                          46836 calls
V_xc                                :     28.601p                          46836 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     20.800u      0.267s      1.842w     12 calls
DFH: compute_JK()                   :     20.800u      0.267s      1.842w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.767u      0.017s      0.152w     24 calls
DFH: compute_K                      :     18.967u      0.117s      1.583w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.217s      0.527w     11 calls
HF: Form C                          :      0.683u      0.517s      0.397w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.983u      0.017s      0.387w      1 calls
| build grid                        :      2.783u      0.017s      0.261w      1 calls
| post-process grid                 :      0.200u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.022w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.015w      1 calls
DFH: initialize()                   :      8.367u      0.883s      1.693w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      1.633u      0.000s      0.351w     23 calls
| DFH: AO-Met. Contraction          :      5.050u      0.750s      0.616w     23 calls
HF: Form core H                     :      0.117u      0.000s      0.014w      1 calls
HF: Form S/X                        :      0.083u      0.067s      0.041w      1 calls
HF: Guess                           :      0.083u      0.117s      0.073w      1 calls
| SAD Guess                         :      0.083u      0.117s      0.072w      1 calls
HF: Form G                          :    123.333u      0.800s     10.303w     12 calls
| RV: Form V                        :    102.533u      0.533s      8.453w     12 calls
| | Properties                      :     35.082p                          46836 calls
| | Functional                      :      3.760p                          46836 calls
| | V_xc                            :     28.601p                          46836 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     20.800u      0.267s      1.842w     12 calls
| | DFH: compute_JK()               :     20.800u      0.267s      1.842w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.767u      0.017s      0.152w     24 calls
| | | DFH: compute_K                :     18.967u      0.117s      1.583w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.217s      0.527w     11 calls
HF: Form C                          :      0.683u      0.517s      0.397w     11 calls

**************************************************************************************
