
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:02:45 2026
Timers Off: Mon Aug 10 19:02:57 2026

Wall Time:       11.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.967u      0.017s      0.270w      1 calls
build grid                          :      1.800u      0.017s      0.167w      1 calls
post-process grid                   :      0.167u      0.000s      0.102w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.028w     10 calls
DFH: initialize()                   :      6.033u      0.300s      1.319w      1 calls
DFH: AO Construction                :      1.217u      0.000s      0.247w     19 calls
DFH: AO-Met. Contraction            :      3.400u      0.150s      0.415w     19 calls
HF: Form core H                     :      0.083u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.024w      1 calls
HF: Guess                           :      0.083u      0.117s      0.072w      1 calls
SAD Guess                           :      0.083u      0.117s      0.071w      1 calls
HF: Form G                          :     88.600u      0.683s      7.498w     12 calls
RV: Form V                          :     74.633u      0.467s      6.240w     12 calls
Properties                          :     25.975p                          41988 calls
Functional                          :      3.253p                          41988 calls
V_xc                                :     20.541p                          41988 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :     13.917u      0.200s      1.247w     12 calls
DFH: compute_JK()                   :     13.917u      0.200s      1.247w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.250u      0.017s      0.108w     24 calls
DFH: compute_K                      :     12.650u      0.133s      1.055w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.833u      0.133s      0.524w     11 calls
HF: Form C                          :      0.483u      0.450s      0.304w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.967u      0.017s      0.270w      1 calls
| build grid                        :      1.800u      0.017s      0.167w      1 calls
| post-process grid                 :      0.167u      0.000s      0.102w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      1 calls
DFH: initialize()                   :      6.033u      0.300s      1.319w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      1.217u      0.000s      0.247w     19 calls
| DFH: AO-Met. Contraction          :      3.400u      0.150s      0.415w     19 calls
HF: Form core H                     :      0.083u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.024w      1 calls
HF: Guess                           :      0.083u      0.117s      0.072w      1 calls
| SAD Guess                         :      0.083u      0.117s      0.071w      1 calls
HF: Form G                          :     88.600u      0.683s      7.498w     12 calls
| RV: Form V                        :     74.633u      0.467s      6.240w     12 calls
| | Properties                      :     25.975p                          41988 calls
| | Functional                      :      3.253p                          41988 calls
| | V_xc                            :     20.541p                          41988 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :     13.917u      0.200s      1.247w     12 calls
| | DFH: compute_JK()               :     13.917u      0.200s      1.247w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.250u      0.017s      0.108w     24 calls
| | | DFH: compute_K                :     12.650u      0.133s      1.055w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.833u      0.133s      0.524w     11 calls
HF: Form C                          :      0.483u      0.450s      0.304w     11 calls

**************************************************************************************
