
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:03:16 2026
Timers Off: Mon Aug 10 19:03:25 2026

Wall Time:        9.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.017s      0.194w      1 calls
build grid                          :      1.450u      0.000s      0.128w      1 calls
post-process grid                   :      0.100u      0.017s      0.066w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.016w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w     10 calls
DFH: initialize()                   :      4.383u      0.500s      0.937w      1 calls
DFH: AO Construction                :      0.767u      0.000s      0.156w     19 calls
DFH: AO-Met. Contraction            :      2.400u      0.383s      0.305w     19 calls
HF: Form core H                     :      0.050u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.013w      1 calls
HF: Guess                           :      0.050u      0.067s      0.036w      1 calls
SAD Guess                           :      0.050u      0.067s      0.036w      1 calls
HF: Form G                          :     74.833u      0.400s      6.293w     12 calls
RV: Form V                          :     62.233u      0.250s      5.171w     12 calls
Properties                          :     21.028p                          42372 calls
Functional                          :      2.773p                          42372 calls
V_xc                                :     17.430p                          42372 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     12.567u      0.150s      1.114w     12 calls
DFH: compute_JK()                   :     12.567u      0.150s      1.114w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.133u      0.017s      0.100w     24 calls
DFH: compute_K                      :     11.417u      0.033s      0.947w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.517u      0.133s      0.295w     11 calls
HF: Form C                          :      0.467u      0.367s      0.298w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.550u      0.017s      0.194w      1 calls
| build grid                        :      1.450u      0.000s      0.128w      1 calls
| post-process grid                 :      0.100u      0.017s      0.066w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.016w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      4.383u      0.500s      0.937w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.011w      9 calls
| DFH: AO Construction              :      0.767u      0.000s      0.156w     19 calls
| DFH: AO-Met. Contraction          :      2.400u      0.383s      0.305w     19 calls
HF: Form core H                     :      0.050u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.013w      1 calls
HF: Guess                           :      0.050u      0.067s      0.036w      1 calls
| SAD Guess                         :      0.050u      0.067s      0.036w      1 calls
HF: Form G                          :     74.833u      0.400s      6.293w     12 calls
| RV: Form V                        :     62.233u      0.250s      5.171w     12 calls
| | Properties                      :     21.028p                          42372 calls
| | Functional                      :      2.773p                          42372 calls
| | V_xc                            :     17.430p                          42372 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     12.567u      0.150s      1.114w     12 calls
| | DFH: compute_JK()               :     12.567u      0.150s      1.114w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.133u      0.017s      0.100w     24 calls
| | | DFH: compute_K                :     11.417u      0.033s      0.947w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.517u      0.133s      0.295w     11 calls
HF: Form C                          :      0.467u      0.367s      0.298w     11 calls

**************************************************************************************
