
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:03:26 2026
Timers Off: Mon Aug 10 19:03:36 2026

Wall Time:        9.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.000s      0.196w      1 calls
build grid                          :      1.433u      0.000s      0.130w      1 calls
post-process grid                   :      0.117u      0.000s      0.065w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.015w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.021w     10 calls
DFH: initialize()                   :      5.600u      0.850s      1.022w      1 calls
DFH: AO Construction                :      1.050u      0.000s      0.123w      9 calls
DFH: AO-Met. Contraction            :      3.267u      0.717s      0.386w      9 calls
HF: Form core H                     :      0.100u      0.017s      0.011w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.027w      1 calls
HF: Guess                           :      0.083u      0.133s      0.081w      1 calls
SAD Guess                           :      0.083u      0.133s      0.080w      1 calls
HF: Form G                          :     73.450u      1.100s      6.466w     12 calls
RV: Form V                          :     58.633u      0.850s      5.027w     12 calls
Properties                          :     16.856p                          42360 calls
Functional                          :      3.312p                          42360 calls
V_xc                                :     19.898p                          42360 calls
JK: D                               :      0.033u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     14.767u      0.233s      1.425w     12 calls
DFH: compute_JK()                   :     14.767u      0.233s      1.425w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.200u      0.050s      0.113w     24 calls
DFH: compute_K                      :     13.550u      0.133s      1.240w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.033s      0.003w     12 calls
HF: DIIS                            :      0.917u      0.200s      0.652w     11 calls
HF: Form C                          :      0.483u      0.433s      0.308w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.550u      0.000s      0.196w      1 calls
| build grid                        :      1.433u      0.000s      0.130w      1 calls
| post-process grid                 :      0.117u      0.000s      0.065w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.015w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w      1 calls
DFH: initialize()                   :      5.600u      0.850s      1.022w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.011w      9 calls
| DFH: AO Construction              :      1.050u      0.000s      0.123w      9 calls
| DFH: AO-Met. Contraction          :      3.267u      0.717s      0.386w      9 calls
HF: Form core H                     :      0.100u      0.017s      0.011w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.027w      1 calls
HF: Guess                           :      0.083u      0.133s      0.081w      1 calls
| SAD Guess                         :      0.083u      0.133s      0.080w      1 calls
HF: Form G                          :     73.450u      1.100s      6.466w     12 calls
| RV: Form V                        :     58.633u      0.850s      5.027w     12 calls
| | Properties                      :     16.856p                          42360 calls
| | Functional                      :      3.312p                          42360 calls
| | V_xc                            :     19.898p                          42360 calls
| JK: D                             :      0.033u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     14.767u      0.233s      1.425w     12 calls
| | DFH: compute_JK()               :     14.767u      0.233s      1.425w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.200u      0.050s      0.113w     24 calls
| | | DFH: compute_K                :     13.550u      0.133s      1.240w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.033s      0.003w     12 calls
HF: DIIS                            :      0.917u      0.200s      0.652w     11 calls
HF: Form C                          :      0.483u      0.433s      0.308w     11 calls

**************************************************************************************
