
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:03:41 2026
Timers Off: Mon Aug 10 19:03:49 2026

Wall Time:        7.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.517u      0.017s      0.192w      1 calls
build grid                          :      1.417u      0.000s      0.128w      1 calls
post-process grid                   :      0.100u      0.017s      0.064w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.016w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w     10 calls
DFH: initialize()                   :      4.633u      0.783s      0.834w      1 calls
DFH: AO Construction                :      0.850u      0.000s      0.091w      8 calls
DFH: AO-Met. Contraction            :      2.617u      0.667s      0.270w      8 calls
HF: Form core H                     :      0.050u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.014w      1 calls
HF: Guess                           :      0.050u      0.067s      0.038w      1 calls
SAD Guess                           :      0.050u      0.067s      0.037w      1 calls
HF: Form G                          :     62.217u      0.417s      5.035w     12 calls
RV: Form V                          :     49.883u      0.250s      3.955w     12 calls
Properties                          :     12.850p                          42192 calls
Functional                          :      2.553p                          42192 calls
V_xc                                :     16.095p                          42192 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     12.300u      0.133s      1.072w     12 calls
DFH: compute_JK()                   :     12.300u      0.133s      1.072w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.150u      0.033s      0.093w     24 calls
DFH: compute_K                      :     11.133u      0.050s      0.923w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.500u      0.117s      0.347w     11 calls
HF: Form C                          :      0.450u      0.367s      0.278w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.517u      0.017s      0.192w      1 calls
| build grid                        :      1.417u      0.000s      0.128w      1 calls
| post-process grid                 :      0.100u      0.017s      0.064w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.016w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      4.633u      0.783s      0.834w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w      9 calls
| DFH: AO Construction              :      0.850u      0.000s      0.091w      8 calls
| DFH: AO-Met. Contraction          :      2.617u      0.667s      0.270w      8 calls
HF: Form core H                     :      0.050u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.014w      1 calls
HF: Guess                           :      0.050u      0.067s      0.038w      1 calls
| SAD Guess                         :      0.050u      0.067s      0.037w      1 calls
HF: Form G                          :     62.217u      0.417s      5.035w     12 calls
| RV: Form V                        :     49.883u      0.250s      3.955w     12 calls
| | Properties                      :     12.850p                          42192 calls
| | Functional                      :      2.553p                          42192 calls
| | V_xc                            :     16.095p                          42192 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     12.300u      0.133s      1.072w     12 calls
| | DFH: compute_JK()               :     12.300u      0.133s      1.072w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.150u      0.033s      0.093w     24 calls
| | | DFH: compute_K                :     11.133u      0.050s      0.923w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.500u      0.117s      0.347w     11 calls
HF: Form C                          :      0.450u      0.367s      0.278w     11 calls

**************************************************************************************
