
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:03:51 2026
Timers Off: Mon Aug 10 19:04:05 2026

Wall Time:       13.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.267u      0.033s      0.279w      1 calls
build grid                          :      2.133u      0.017s      0.195w      1 calls
post-process grid                   :      0.133u      0.017s      0.083w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.025w     10 calls
DFH: initialize()                   :      6.767u      0.750s      1.321w      1 calls
DFH: AO Construction                :      1.100u      0.017s      0.230w     21 calls
DFH: AO-Met. Contraction            :      4.067u      0.583s      0.474w     21 calls
HF: Form core H                     :      0.083u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.028w      1 calls
HF: Guess                           :      0.067u      0.100s      0.061w      1 calls
SAD Guess                           :      0.067u      0.100s      0.060w      1 calls
HF: Form G                          :    116.067u      0.817s      9.652w     12 calls
RV: Form V                          :     95.167u      0.533s      7.832w     12 calls
Properties                          :     32.531p                          47352 calls
Functional                          :      3.701p                          47352 calls
V_xc                                :     26.129p                          47352 calls
JK: D                               :      0.017u      0.017s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     20.883u      0.233s      1.811w     12 calls
DFH: compute_JK()                   :     20.883u      0.233s      1.811w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.717u      0.017s      0.148w     24 calls
DFH: compute_K                      :     19.117u      0.083s      1.555w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.000u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.933u      0.217s      0.554w     11 calls
HF: Form C                          :      0.650u      0.500s      0.398w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.267u      0.033s      0.279w      1 calls
| build grid                        :      2.133u      0.017s      0.195w      1 calls
| post-process grid                 :      0.133u      0.017s      0.083w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      1 calls
DFH: initialize()                   :      6.767u      0.750s      1.321w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      9 calls
| DFH: AO Construction              :      1.100u      0.017s      0.230w     21 calls
| DFH: AO-Met. Contraction          :      4.067u      0.583s      0.474w     21 calls
HF: Form core H                     :      0.083u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.050u      0.033s      0.028w      1 calls
HF: Guess                           :      0.067u      0.100s      0.061w      1 calls
| SAD Guess                         :      0.067u      0.100s      0.060w      1 calls
HF: Form G                          :    116.067u      0.817s      9.652w     12 calls
| RV: Form V                        :     95.167u      0.533s      7.832w     12 calls
| | Properties                      :     32.531p                          47352 calls
| | Functional                      :      3.701p                          47352 calls
| | V_xc                            :     26.129p                          47352 calls
| JK: D                             :      0.017u      0.017s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     20.883u      0.233s      1.811w     12 calls
| | DFH: compute_JK()               :     20.883u      0.233s      1.811w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.717u      0.017s      0.148w     24 calls
| | | DFH: compute_K                :     19.117u      0.083s      1.555w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.000u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.933u      0.217s      0.554w     11 calls
HF: Form C                          :      0.650u      0.500s      0.398w     11 calls

**************************************************************************************
