
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:04:06 2026
Timers Off: Mon Aug 10 19:04:21 2026

Wall Time:       14.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.317u      0.017s      0.297w      1 calls
build grid                          :      2.183u      0.000s      0.208w      1 calls
post-process grid                   :      0.133u      0.017s      0.089w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.026w     10 calls
DFH: initialize()                   :      7.783u      0.733s      1.486w      1 calls
DFH: AO Construction                :      1.483u      0.017s      0.282w     20 calls
DFH: AO-Met. Contraction            :      4.683u      0.583s      0.549w     20 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.033w      1 calls
HF: Guess                           :      0.083u      0.100s      0.065w      1 calls
SAD Guess                           :      0.083u      0.100s      0.064w      1 calls
HF: Form G                          :    120.100u      0.983s     10.502w     12 calls
RV: Form V                          :     97.967u      0.683s      8.458w     12 calls
Properties                          :     35.069p                          46968 calls
Functional                          :      3.840p                          46968 calls
V_xc                                :     28.544p                          46968 calls
JK: D                               :      0.017u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     22.117u      0.300s      2.032w     12 calls
DFH: compute_JK()                   :     22.117u      0.300s      2.031w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.717u      0.033s      0.155w     24 calls
DFH: compute_K                      :     20.400u      0.117s      1.764w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.067u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.167s      0.546w     11 calls
HF: Form C                          :      0.650u      0.517s      0.402w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.317u      0.017s      0.297w      1 calls
| build grid                        :      2.183u      0.000s      0.208w      1 calls
| post-process grid                 :      0.133u      0.017s      0.089w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.013w      1 calls
DFH: initialize()                   :      7.783u      0.733s      1.486w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.013w      9 calls
| DFH: AO Construction              :      1.483u      0.017s      0.282w     20 calls
| DFH: AO-Met. Contraction          :      4.683u      0.583s      0.549w     20 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.033w      1 calls
HF: Guess                           :      0.083u      0.100s      0.065w      1 calls
| SAD Guess                         :      0.083u      0.100s      0.064w      1 calls
HF: Form G                          :    120.100u      0.983s     10.502w     12 calls
| RV: Form V                        :     97.967u      0.683s      8.458w     12 calls
| | Properties                      :     35.069p                          46968 calls
| | Functional                      :      3.840p                          46968 calls
| | V_xc                            :     28.544p                          46968 calls
| JK: D                             :      0.017u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     22.117u      0.300s      2.032w     12 calls
| | DFH: compute_JK()               :     22.117u      0.300s      2.031w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.717u      0.033s      0.155w     24 calls
| | | DFH: compute_K                :     20.400u      0.117s      1.764w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.067u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.883u      0.167s      0.546w     11 calls
HF: Form C                          :      0.650u      0.517s      0.402w     11 calls

**************************************************************************************
