
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:04:21 2026
Timers Off: Mon Aug 10 19:04:36 2026

Wall Time:       14.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.683u      0.017s      0.343w      1 calls
build grid                          :      2.500u      0.017s      0.232w      1 calls
post-process grid                   :      0.183u      0.000s      0.110w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.022w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.029w     10 calls
DFH: initialize()                   :      8.867u      0.883s      1.701w      1 calls
DFH: AO Construction                :      1.700u      0.000s      0.330w     21 calls
DFH: AO-Met. Contraction            :      5.250u      0.733s      0.613w     21 calls
HF: Form core H                     :      0.133u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.040w      1 calls
HF: Guess                           :      0.100u      0.117s      0.079w      1 calls
SAD Guess                           :      0.083u      0.117s      0.077w      1 calls
HF: Form G                          :    118.767u      0.817s      9.996w     12 calls
RV: Form V                          :     97.733u      0.583s      8.143w     12 calls
Properties                          :     34.046p                          47004 calls
Functional                          :      3.685p                          47004 calls
V_xc                                :     27.228p                          47004 calls
JK: D                               :      0.050u      0.000s      0.008w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     20.983u      0.217s      1.839w     12 calls
DFH: compute_JK()                   :     20.983u      0.217s      1.839w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.833u      0.017s      0.155w     24 calls
DFH: compute_K                      :     19.133u      0.117s      1.568w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.233s      0.508w     11 calls
HF: Form C                          :      0.650u      0.500s      0.397w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.683u      0.017s      0.343w      1 calls
| build grid                        :      2.500u      0.017s      0.232w      1 calls
| post-process grid                 :      0.183u      0.000s      0.110w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.022w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.015w      1 calls
DFH: initialize()                   :      8.867u      0.883s      1.701w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.015w      9 calls
| DFH: AO Construction              :      1.700u      0.000s      0.330w     21 calls
| DFH: AO-Met. Contraction          :      5.250u      0.733s      0.613w     21 calls
HF: Form core H                     :      0.133u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.040w      1 calls
HF: Guess                           :      0.100u      0.117s      0.079w      1 calls
| SAD Guess                         :      0.083u      0.117s      0.077w      1 calls
HF: Form G                          :    118.767u      0.817s      9.996w     12 calls
| RV: Form V                        :     97.733u      0.583s      8.143w     12 calls
| | Properties                      :     34.046p                          47004 calls
| | Functional                      :      3.685p                          47004 calls
| | V_xc                            :     27.228p                          47004 calls
| JK: D                             :      0.050u      0.000s      0.008w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     20.983u      0.217s      1.839w     12 calls
| | DFH: compute_JK()               :     20.983u      0.217s      1.839w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.833u      0.017s      0.155w     24 calls
| | | DFH: compute_K                :     19.133u      0.117s      1.568w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.867u      0.233s      0.508w     11 calls
HF: Form C                          :      0.650u      0.500s      0.397w     11 calls

**************************************************************************************
