
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:04:52 2026
Timers Off: Mon Aug 10 19:05:06 2026

Wall Time:       13.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.450u      0.017s      0.312w      1 calls
build grid                          :      2.300u      0.000s      0.211w      1 calls
post-process grid                   :      0.150u      0.017s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.028w     10 calls
DFH: initialize()                   :      8.200u      0.717s      1.596w      1 calls
DFH: AO Construction                :      1.567u      0.000s      0.306w     21 calls
DFH: AO-Met. Contraction            :      4.967u      0.583s      0.583w     21 calls
HF: Form core H                     :      0.117u      0.017s      0.016w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.041w      1 calls
HF: Guess                           :      0.083u      0.117s      0.074w      1 calls
SAD Guess                           :      0.083u      0.117s      0.073w      1 calls
HF: Form G                          :    115.350u      0.750s      9.632w     12 calls
RV: Form V                          :     94.550u      0.517s      7.814w     12 calls
Properties                          :     32.663p                          47196 calls
Functional                          :      3.694p                          47196 calls
V_xc                                :     26.000p                          47196 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     12 calls
JK: JK                              :     20.767u      0.217s      1.803w     12 calls
DFH: compute_JK()                   :     20.767u      0.217s      1.803w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.683u      0.017s      0.135w     24 calls
DFH: compute_K                      :     19.050u      0.100s      1.556w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.917u      0.250s      0.542w     11 calls
HF: Form C                          :      0.667u      0.500s      0.406w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.450u      0.017s      0.312w      1 calls
| build grid                        :      2.300u      0.000s      0.211w      1 calls
| post-process grid                 :      0.150u      0.017s      0.101w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      1 calls
DFH: initialize()                   :      8.200u      0.717s      1.596w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w      9 calls
| DFH: AO Construction              :      1.567u      0.000s      0.306w     21 calls
| DFH: AO-Met. Contraction          :      4.967u      0.583s      0.583w     21 calls
HF: Form core H                     :      0.117u      0.017s      0.016w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.041w      1 calls
HF: Guess                           :      0.083u      0.117s      0.074w      1 calls
| SAD Guess                         :      0.083u      0.117s      0.073w      1 calls
HF: Form G                          :    115.350u      0.750s      9.632w     12 calls
| RV: Form V                        :     94.550u      0.517s      7.814w     12 calls
| | Properties                      :     32.663p                          47196 calls
| | Functional                      :      3.694p                          47196 calls
| | V_xc                            :     26.000p                          47196 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     12 calls
| JK: JK                            :     20.767u      0.217s      1.803w     12 calls
| | DFH: compute_JK()               :     20.767u      0.217s      1.803w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.683u      0.017s      0.135w     24 calls
| | | DFH: compute_K                :     19.050u      0.100s      1.556w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.917u      0.250s      0.542w     11 calls
HF: Form C                          :      0.667u      0.500s      0.406w     11 calls

**************************************************************************************
