
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:05:07 2026
Timers Off: Mon Aug 10 19:05:44 2026

Wall Time:       36.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.400u      0.033s      0.711w      1 calls
build grid                          :      6.100u      0.017s      0.523w      1 calls
post-process grid                   :      0.300u      0.017s      0.188w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.045w      1 calls
Libint2ERI::Libint2ERI              :      0.083u      0.000s      0.061w     10 calls
DFH: initialize()                   :     40.117u      2.200s      6.552w      1 calls
DFH: AO Construction                :      6.433u      0.050s      1.203w     28 calls
DFH: AO-Met. Contraction            :     28.433u      1.900s      3.175w     28 calls
HF: Form core H                     :      0.317u      0.017s      0.030w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.101w      1 calls
HF: Guess                           :      0.100u      0.133s      0.077w      1 calls
SAD Guess                           :      0.100u      0.133s      0.076w      1 calls
HF: Form G                          :    316.633u      2.283s     26.051w     13 calls
RV: Form V                          :    228.817u      1.083s     18.406w     13 calls
Properties                          :     83.709p                          67912 calls
Functional                          :      5.159p                          67912 calls
V_xc                                :     58.113p                          67912 calls
JK: D                               :      0.017u      0.000s      0.005w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :     87.800u      1.200s      7.631w     13 calls
DFH: compute_JK()                   :     87.800u      1.200s      7.631w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     26 calls
DFH: compute_J                      :      4.817u      0.000s      0.389w     26 calls
DFH: compute_K                      :     82.767u      0.500s      6.737w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.067u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.150u      0.283s      0.641w     12 calls
HF: Form C                          :      2.050u      0.950s      1.111w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.400u      0.033s      0.711w      1 calls
| build grid                        :      6.100u      0.017s      0.523w      1 calls
| post-process grid                 :      0.300u      0.017s      0.188w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.045w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.031w      1 calls
DFH: initialize()                   :     40.117u      2.200s      6.552w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.031w      9 calls
| DFH: AO Construction              :      6.433u      0.050s      1.203w     28 calls
| DFH: AO-Met. Contraction          :     28.433u      1.900s      3.175w     28 calls
HF: Form core H                     :      0.317u      0.017s      0.030w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.101w      1 calls
HF: Guess                           :      0.100u      0.133s      0.077w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.076w      1 calls
HF: Form G                          :    316.633u      2.283s     26.051w     13 calls
| RV: Form V                        :    228.817u      1.083s     18.406w     13 calls
| | Properties                      :     83.709p                          67912 calls
| | Functional                      :      5.159p                          67912 calls
| | V_xc                            :     58.113p                          67912 calls
| JK: D                             :      0.017u      0.000s      0.005w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :     87.800u      1.200s      7.631w     13 calls
| | DFH: compute_JK()               :     87.800u      1.200s      7.631w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     26 calls
| | | DFH: compute_J                :      4.817u      0.000s      0.389w     26 calls
| | | DFH: compute_K                :     82.767u      0.500s      6.737w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.067u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.150u      0.283s      0.641w     12 calls
HF: Form C                          :      2.050u      0.950s      1.111w     12 calls

**************************************************************************************
