
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:05:48 2026
Timers Off: Mon Aug 10 19:06:22 2026

Wall Time:       34.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.300u      0.033s      0.566w      1 calls
build grid                          :      5.100u      0.033s      0.440w      1 calls
post-process grid                   :      0.200u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.040w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.054w     10 calls
DFH: initialize()                   :     34.533u      1.683s      5.263w      1 calls
DFH: AO Construction                :      5.433u      0.033s      0.908w     27 calls
DFH: AO-Met. Contraction            :     24.467u      1.417s      2.554w     27 calls
HF: Form core H                     :      0.317u      0.000s      0.034w      1 calls
HF: Form S/X                        :      0.200u      0.100s      0.109w      1 calls
HF: Guess                           :      0.133u      0.133s      0.088w      1 calls
SAD Guess                           :      0.117u      0.133s      0.086w      1 calls
HF: Form G                          :    313.700u      2.267s     25.583w     13 calls
RV: Form V                          :    225.917u      1.183s     18.104w     13 calls
Properties                          :     80.350p                          68861 calls
Functional                          :      5.306p                          68861 calls
V_xc                                :     58.902p                          68861 calls
JK: D                               :      0.033u      0.000s      0.005w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     13 calls
JK: JK                              :     87.750u      1.050s      7.463w     13 calls
DFH: compute_JK()                   :     87.733u      1.050s      7.463w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     26 calls
DFH: compute_J                      :      4.833u      0.017s      0.379w     26 calls
DFH: compute_K                      :     82.717u      0.450s      6.617w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.002w     13 calls
HF: Form D                          :      0.033u      0.017s      0.003w     13 calls
HF: DIIS                            :      1.117u      0.250s      0.592w     12 calls
HF: Form C                          :      2.050u      0.933s      1.088w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.300u      0.033s      0.566w      1 calls
| build grid                        :      5.100u      0.033s      0.440w      1 calls
| post-process grid                 :      0.200u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.040w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.027w      1 calls
DFH: initialize()                   :     34.533u      1.683s      5.263w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.027w      9 calls
| DFH: AO Construction              :      5.433u      0.033s      0.908w     27 calls
| DFH: AO-Met. Contraction          :     24.467u      1.417s      2.554w     27 calls
HF: Form core H                     :      0.317u      0.000s      0.034w      1 calls
HF: Form S/X                        :      0.200u      0.100s      0.109w      1 calls
HF: Guess                           :      0.133u      0.133s      0.088w      1 calls
| SAD Guess                         :      0.117u      0.133s      0.086w      1 calls
HF: Form G                          :    313.700u      2.267s     25.583w     13 calls
| RV: Form V                        :    225.917u      1.183s     18.104w     13 calls
| | Properties                      :     80.350p                          68861 calls
| | Functional                      :      5.306p                          68861 calls
| | V_xc                            :     58.902p                          68861 calls
| JK: D                             :      0.033u      0.000s      0.005w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     13 calls
| JK: JK                            :     87.750u      1.050s      7.463w     13 calls
| | DFH: compute_JK()               :     87.733u      1.050s      7.463w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     26 calls
| | | DFH: compute_J                :      4.833u      0.017s      0.379w     26 calls
| | | DFH: compute_K                :     82.717u      0.450s      6.617w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.002w     13 calls
HF: Form D                          :      0.033u      0.017s      0.003w     13 calls
HF: DIIS                            :      1.117u      0.250s      0.592w     12 calls
HF: Form C                          :      2.050u      0.933s      1.088w     12 calls

**************************************************************************************
