
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:06:23 2026
Timers Off: Mon Aug 10 19:06:55 2026

Wall Time:       31.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.333u      0.033s      0.716w      1 calls
build grid                          :      6.017u      0.017s      0.522w      1 calls
post-process grid                   :      0.317u      0.017s      0.194w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.045w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.017s      0.060w     10 calls
DFH: initialize()                   :     37.817u      2.083s      6.049w      1 calls
DFH: AO Construction                :      6.067u      0.033s      1.040w     26 calls
DFH: AO-Met. Contraction            :     26.583u      1.800s      2.856w     26 calls
HF: Form core H                     :      0.317u      0.000s      0.029w      1 calls
HF: Form S/X                        :      0.167u      0.083s      0.094w      1 calls
HF: Guess                           :      0.100u      0.117s      0.074w      1 calls
SAD Guess                           :      0.100u      0.117s      0.072w      1 calls
HF: Form G                          :    269.750u      1.967s     21.842w     12 calls
RV: Form V                          :    191.650u      0.917s     15.145w     12 calls
Properties                          :     66.869p                          63840 calls
Functional                          :      4.701p                          63840 calls
V_xc                                :     49.280p                          63840 calls
JK: D                               :      0.050u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     78.050u      1.050s      6.685w     12 calls
DFH: compute_JK()                   :     78.050u      1.050s      6.684w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.400u      0.033s      0.360w     24 calls
DFH: compute_K                      :     73.500u      0.483s      5.902w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.117u      0.233s      0.581w     11 calls
HF: Form C                          :      1.867u      0.933s      1.003w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      6.333u      0.033s      0.716w      1 calls
| build grid                        :      6.017u      0.017s      0.522w      1 calls
| post-process grid                 :      0.317u      0.017s      0.194w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.045w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.030w      1 calls
DFH: initialize()                   :     37.817u      2.083s      6.049w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.030w      9 calls
| DFH: AO Construction              :      6.067u      0.033s      1.040w     26 calls
| DFH: AO-Met. Contraction          :     26.583u      1.800s      2.856w     26 calls
HF: Form core H                     :      0.317u      0.000s      0.029w      1 calls
HF: Form S/X                        :      0.167u      0.083s      0.094w      1 calls
HF: Guess                           :      0.100u      0.117s      0.074w      1 calls
| SAD Guess                         :      0.100u      0.117s      0.072w      1 calls
HF: Form G                          :    269.750u      1.967s     21.842w     12 calls
| RV: Form V                        :    191.650u      0.917s     15.145w     12 calls
| | Properties                      :     66.869p                          63840 calls
| | Functional                      :      4.701p                          63840 calls
| | V_xc                            :     49.280p                          63840 calls
| JK: D                             :      0.050u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     78.050u      1.050s      6.685w     12 calls
| | DFH: compute_JK()               :     78.050u      1.050s      6.684w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.400u      0.033s      0.360w     24 calls
| | | DFH: compute_K                :     73.500u      0.483s      5.902w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.117u      0.233s      0.581w     11 calls
HF: Form C                          :      1.867u      0.933s      1.003w     11 calls

**************************************************************************************
