
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:06:59 2026
Timers Off: Mon Aug 10 19:07:30 2026

Wall Time:       31.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.367u      0.017s      0.566w      1 calls
build grid                          :      5.167u      0.017s      0.440w      1 calls
post-process grid                   :      0.200u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.041w      1 calls
Libint2ERI::Libint2ERI              :      0.083u      0.000s      0.055w     10 calls
DFH: initialize()                   :     32.733u      1.600s      5.195w      1 calls
DFH: AO Construction                :      5.067u      0.000s      0.904w     29 calls
DFH: AO-Met. Contraction            :     23.117u      1.367s      2.508w     29 calls
HF: Form core H                     :      0.317u      0.000s      0.030w      1 calls
HF: Form S/X                        :      0.183u      0.100s      0.100w      1 calls
HF: Guess                           :      0.117u      0.100s      0.073w      1 calls
SAD Guess                           :      0.100u      0.100s      0.072w      1 calls
HF: Form G                          :    286.400u      1.967s     22.803w     12 calls
RV: Form V                          :    207.517u      0.933s     16.137w     12 calls
Properties                          :     71.564p                          63696 calls
Functional                          :      4.585p                          63696 calls
V_xc                                :     52.685p                          63696 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     78.850u      1.017s      6.655w     12 calls
DFH: compute_JK()                   :     78.833u      1.017s      6.654w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.567u      0.117s      0.361w     24 calls
DFH: compute_K                      :     74.117u      0.367s      5.804w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.100u      0.200s      0.596w     11 calls
HF: Form C                          :      1.767u      0.867s      0.969w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.367u      0.017s      0.566w      1 calls
| build grid                        :      5.167u      0.017s      0.440w      1 calls
| post-process grid                 :      0.200u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.041w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.028w      1 calls
DFH: initialize()                   :     32.733u      1.600s      5.195w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.027w      9 calls
| DFH: AO Construction              :      5.067u      0.000s      0.904w     29 calls
| DFH: AO-Met. Contraction          :     23.117u      1.367s      2.508w     29 calls
HF: Form core H                     :      0.317u      0.000s      0.030w      1 calls
HF: Form S/X                        :      0.183u      0.100s      0.100w      1 calls
HF: Guess                           :      0.117u      0.100s      0.073w      1 calls
| SAD Guess                         :      0.100u      0.100s      0.072w      1 calls
HF: Form G                          :    286.400u      1.967s     22.803w     12 calls
| RV: Form V                        :    207.517u      0.933s     16.137w     12 calls
| | Properties                      :     71.564p                          63696 calls
| | Functional                      :      4.585p                          63696 calls
| | V_xc                            :     52.685p                          63696 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     78.850u      1.017s      6.655w     12 calls
| | DFH: compute_JK()               :     78.833u      1.017s      6.654w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.567u      0.117s      0.361w     24 calls
| | | DFH: compute_K                :     74.117u      0.367s      5.804w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.100u      0.200s      0.596w     11 calls
HF: Form C                          :      1.767u      0.867s      0.969w     11 calls

**************************************************************************************
