
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:07:34 2026
Timers Off: Mon Aug 10 19:08:04 2026

Wall Time:       30.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.333u      0.033s      0.567w      1 calls
build grid                          :      5.117u      0.017s      0.430w      1 calls
post-process grid                   :      0.217u      0.017s      0.137w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.040w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.054w     10 calls
DFH: initialize()                   :     31.133u      1.383s      4.861w      1 calls
DFH: AO Construction                :      4.733u      0.017s      0.787w     27 calls
DFH: AO-Met. Contraction            :     21.750u      1.133s      2.281w     27 calls
HF: Form core H                     :      0.317u      0.000s      0.029w      1 calls
HF: Form S/X                        :      0.167u      0.083s      0.092w      1 calls
HF: Guess                           :      0.100u      0.100s      0.069w      1 calls
SAD Guess                           :      0.100u      0.100s      0.067w      1 calls
HF: Form G                          :    272.117u      1.883s     21.778w     12 calls
RV: Form V                          :    193.633u      0.917s     15.134w     12 calls
Properties                          :     66.831p                          63588 calls
Functional                          :      4.572p                          63588 calls
V_xc                                :     49.461p                          63588 calls
JK: D                               :      0.000u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     78.467u      0.933s      6.633w     12 calls
DFH: compute_JK()                   :     78.467u      0.933s      6.633w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.400u      0.017s      0.353w     24 calls
DFH: compute_K                      :     73.850u      0.450s      5.860w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.100u      0.200s      0.502w     11 calls
HF: Form C                          :      1.817u      0.883s      0.980w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.333u      0.033s      0.567w      1 calls
| build grid                        :      5.117u      0.017s      0.430w      1 calls
| post-process grid                 :      0.217u      0.017s      0.137w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.040w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.027w      1 calls
DFH: initialize()                   :     31.133u      1.383s      4.861w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.027w      9 calls
| DFH: AO Construction              :      4.733u      0.017s      0.787w     27 calls
| DFH: AO-Met. Contraction          :     21.750u      1.133s      2.281w     27 calls
HF: Form core H                     :      0.317u      0.000s      0.029w      1 calls
HF: Form S/X                        :      0.167u      0.083s      0.092w      1 calls
HF: Guess                           :      0.100u      0.100s      0.069w      1 calls
| SAD Guess                         :      0.100u      0.100s      0.067w      1 calls
HF: Form G                          :    272.117u      1.883s     21.778w     12 calls
| RV: Form V                        :    193.633u      0.917s     15.134w     12 calls
| | Properties                      :     66.831p                          63588 calls
| | Functional                      :      4.572p                          63588 calls
| | V_xc                            :     49.461p                          63588 calls
| JK: D                             :      0.000u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     78.467u      0.933s      6.633w     12 calls
| | DFH: compute_JK()               :     78.467u      0.933s      6.633w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.400u      0.017s      0.353w     24 calls
| | | DFH: compute_K                :     73.850u      0.450s      5.860w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.100u      0.200s      0.502w     11 calls
HF: Form C                          :      1.817u      0.883s      0.980w     11 calls

**************************************************************************************
