
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:08:09 2026
Timers Off: Mon Aug 10 19:08:32 2026

Wall Time:       22.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.200u      0.017s      0.465w      1 calls
build grid                          :      4.033u      0.017s      0.352w      1 calls
post-process grid                   :      0.167u      0.000s      0.113w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.034w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.046w     10 calls
DFH: initialize()                   :     17.117u      1.167s      3.019w      1 calls
DFH: AO Construction                :      2.500u      0.017s      0.455w     24 calls
DFH: AO-Met. Contraction            :     11.200u      0.950s      1.218w     24 calls
HF: Form core H                     :      0.167u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.051w      1 calls
HF: Guess                           :      0.067u      0.100s      0.055w      1 calls
SAD Guess                           :      0.067u      0.100s      0.054w      1 calls
HF: Form G                          :    202.483u      1.700s     16.820w     12 calls
RV: Form V                          :    148.467u      0.900s     12.097w     12 calls
Properties                          :     52.567p                          58764 calls
Functional                          :      4.339p                          58764 calls
V_xc                                :     39.677p                          58764 calls
JK: D                               :      0.017u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     54.000u      0.800s      4.714w     12 calls
DFH: compute_JK()                   :     54.000u      0.800s      4.714w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.217u      0.033s      0.268w     24 calls
DFH: compute_K                      :     50.650u      0.333s      4.132w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.017u      0.217s      0.504w     11 calls
HF: Form C                          :      1.433u      0.800s      0.797w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.200u      0.017s      0.465w      1 calls
| build grid                        :      4.033u      0.017s      0.352w      1 calls
| post-process grid                 :      0.167u      0.000s      0.113w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.034w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.023w      1 calls
DFH: initialize()                   :     17.117u      1.167s      3.019w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.022w      9 calls
| DFH: AO Construction              :      2.500u      0.017s      0.455w     24 calls
| DFH: AO-Met. Contraction          :     11.200u      0.950s      1.218w     24 calls
HF: Form core H                     :      0.167u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.051w      1 calls
HF: Guess                           :      0.067u      0.100s      0.055w      1 calls
| SAD Guess                         :      0.067u      0.100s      0.054w      1 calls
HF: Form G                          :    202.483u      1.700s     16.820w     12 calls
| RV: Form V                        :    148.467u      0.900s     12.097w     12 calls
| | Properties                      :     52.567p                          58764 calls
| | Functional                      :      4.339p                          58764 calls
| | V_xc                            :     39.677p                          58764 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     54.000u      0.800s      4.714w     12 calls
| | DFH: compute_JK()               :     54.000u      0.800s      4.714w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.217u      0.033s      0.268w     24 calls
| | | DFH: compute_K                :     50.650u      0.333s      4.132w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.017u      0.217s      0.504w     11 calls
HF: Form C                          :      1.433u      0.800s      0.797w     11 calls

**************************************************************************************
