
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:08:35 2026
Timers Off: Mon Aug 10 19:09:00 2026

Wall Time:       24.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.300u      0.033s      0.505w      1 calls
build grid                          :      4.117u      0.017s      0.384w      1 calls
post-process grid                   :      0.183u      0.017s      0.121w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.044w     10 calls
DFH: initialize()                   :     23.767u      1.183s      3.848w      1 calls
DFH: AO Construction                :      3.883u      0.017s      0.750w     25 calls
DFH: AO-Met. Contraction            :     16.383u      0.967s      1.752w     25 calls
HF: Form core H                     :      0.250u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.150u      0.100s      0.080w      1 calls
HF: Guess                           :      0.117u      0.133s      0.089w      1 calls
SAD Guess                           :      0.117u      0.133s      0.087w      1 calls
HF: Form G                          :    212.183u      1.683s     17.553w     12 calls
RV: Form V                          :    157.183u      0.967s     12.759w     12 calls
Properties                          :     56.197p                          59064 calls
Functional                          :      4.458p                          59064 calls
V_xc                                :     41.181p                          59064 calls
JK: D                               :      0.033u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     54.967u      0.717s      4.784w     12 calls
DFH: compute_JK()                   :     54.967u      0.717s      4.783w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.200u      0.067s      0.263w     24 calls
DFH: compute_K                      :     51.617u      0.333s      4.213w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.067u      0.000s      0.003w     12 calls
HF: DIIS                            :      0.967u      0.150s      0.484w     11 calls
HF: Form C                          :      1.433u      0.817s      0.806w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.300u      0.033s      0.505w      1 calls
| build grid                        :      4.117u      0.017s      0.384w      1 calls
| post-process grid                 :      0.183u      0.017s      0.121w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      1 calls
DFH: initialize()                   :     23.767u      1.183s      3.848w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      9 calls
| DFH: AO Construction              :      3.883u      0.017s      0.750w     25 calls
| DFH: AO-Met. Contraction          :     16.383u      0.967s      1.752w     25 calls
HF: Form core H                     :      0.250u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.150u      0.100s      0.080w      1 calls
HF: Guess                           :      0.117u      0.133s      0.089w      1 calls
| SAD Guess                         :      0.117u      0.133s      0.087w      1 calls
HF: Form G                          :    212.183u      1.683s     17.553w     12 calls
| RV: Form V                        :    157.183u      0.967s     12.759w     12 calls
| | Properties                      :     56.197p                          59064 calls
| | Functional                      :      4.458p                          59064 calls
| | V_xc                            :     41.181p                          59064 calls
| JK: D                             :      0.033u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     54.967u      0.717s      4.784w     12 calls
| | DFH: compute_JK()               :     54.967u      0.717s      4.783w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.200u      0.067s      0.263w     24 calls
| | | DFH: compute_K                :     51.617u      0.333s      4.213w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.067u      0.000s      0.003w     12 calls
HF: DIIS                            :      0.967u      0.150s      0.484w     11 calls
HF: Form C                          :      1.433u      0.817s      0.806w     11 calls

**************************************************************************************
