
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 19:09:30 2026
Timers Off: Mon Aug 10 19:09:56 2026

Wall Time:       25.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.250u      0.033s      0.477w      1 calls
build grid                          :      4.067u      0.033s      0.361w      1 calls
post-process grid                   :      0.183u      0.000s      0.116w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.033w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.045w     10 calls
DFH: initialize()                   :     22.383u      1.317s      3.712w      1 calls
DFH: AO Construction                :      3.667u      0.000s      0.674w     25 calls
DFH: AO-Met. Contraction            :     15.283u      1.100s      1.682w     25 calls
HF: Form core H                     :      0.233u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.150u      0.083s      0.078w      1 calls
HF: Guess                           :      0.117u      0.133s      0.083w      1 calls
SAD Guess                           :      0.100u      0.133s      0.081w      1 calls
HF: Form G                          :    219.400u      2.150s     18.446w     12 calls
RV: Form V                          :    162.700u      1.200s     13.461w     12 calls
Properties                          :     58.081p                          58716 calls
Functional                          :      4.697p                          58716 calls
V_xc                                :     44.382p                          58716 calls
JK: D                               :      0.017u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     56.667u      0.950s      4.975w     12 calls
DFH: compute_JK()                   :     56.667u      0.950s      4.975w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.400u      0.050s      0.278w     24 calls
DFH: compute_K                      :     53.150u      0.450s      4.345w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.033u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.000u      0.167s      0.543w     11 calls
HF: Form C                          :      1.433u      0.783s      0.798w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.250u      0.033s      0.477w      1 calls
| build grid                        :      4.067u      0.033s      0.361w      1 calls
| post-process grid                 :      0.183u      0.000s      0.116w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.033w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      1 calls
DFH: initialize()                   :     22.383u      1.317s      3.712w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      9 calls
| DFH: AO Construction              :      3.667u      0.000s      0.674w     25 calls
| DFH: AO-Met. Contraction          :     15.283u      1.100s      1.682w     25 calls
HF: Form core H                     :      0.233u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.150u      0.083s      0.078w      1 calls
HF: Guess                           :      0.117u      0.133s      0.083w      1 calls
| SAD Guess                         :      0.100u      0.133s      0.081w      1 calls
HF: Form G                          :    219.400u      2.150s     18.446w     12 calls
| RV: Form V                        :    162.700u      1.200s     13.461w     12 calls
| | Properties                      :     58.081p                          58716 calls
| | Functional                      :      4.697p                          58716 calls
| | V_xc                            :     44.382p                          58716 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     56.667u      0.950s      4.975w     12 calls
| | DFH: compute_JK()               :     56.667u      0.950s      4.975w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.400u      0.050s      0.278w     24 calls
| | | DFH: compute_K                :     53.150u      0.450s      4.345w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.033u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.000u      0.167s      0.543w     11 calls
HF: Form C                          :      1.433u      0.783s      0.798w     11 calls

**************************************************************************************
