
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:04:44 2026
Timers Off: Sun Aug  9 02:04:57 2026

Wall Time:       13.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.367u      0.017s      0.182w      1 calls
build grid                          :      1.267u      0.017s      0.116w      1 calls
post-process grid                   :      0.100u      0.000s      0.065w      1 calls
DFH: sparsity prep                  :      0.100u      0.000s      0.064w      1 calls
Libint2ERI::Libint2ERI              :      0.133u      0.000s      0.085w     10 calls
DFH: initialize()                   :      9.550u      2.333s      1.645w      1 calls
DFH: AO Construction                :      1.800u      0.017s      0.378w     25 calls
DFH: AO-Met. Contraction            :      6.700u      2.217s      0.848w     25 calls
HF: Form core H                     :      0.100u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.117u      0.050s      0.053w      1 calls
HF: Guess                           :      0.083u      0.083s      0.055w      1 calls
SAD Guess                           :      0.083u      0.083s      0.054w      1 calls
HF: Form G                          :    126.950u      0.433s      9.682w     12 calls
RV: Form V                          :    104.833u      0.300s      7.929w     12 calls
Properties                          :     32.670p                          40668 calls
Functional                          :      1.537p                          40668 calls
V_xc                                :     29.114p                          40668 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     22.117u      0.117s      1.746w     12 calls
DFH: compute_JK()                   :     22.117u      0.117s      1.746w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.667u      0.017s      0.203w     24 calls
DFH: compute_K                      :     19.433u      0.050s      1.481w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.650u      0.133s      0.279w     11 calls
HF: Form C                          :      1.100u      0.533s      0.572w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.367u      0.017s      0.182w      1 calls
| build grid                        :      1.267u      0.017s      0.116w      1 calls
| post-process grid                 :      0.100u      0.000s      0.065w      1 calls
DFH: sparsity prep                  :      0.100u      0.000s      0.064w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.043w      1 calls
DFH: initialize()                   :      9.550u      2.333s      1.645w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.042w      9 calls
| DFH: AO Construction              :      1.800u      0.017s      0.378w     25 calls
| DFH: AO-Met. Contraction          :      6.700u      2.217s      0.848w     25 calls
HF: Form core H                     :      0.100u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.117u      0.050s      0.053w      1 calls
HF: Guess                           :      0.083u      0.083s      0.055w      1 calls
| SAD Guess                         :      0.083u      0.083s      0.054w      1 calls
HF: Form G                          :    126.950u      0.433s      9.682w     12 calls
| RV: Form V                        :    104.833u      0.300s      7.929w     12 calls
| | Properties                      :     32.670p                          40668 calls
| | Functional                      :      1.537p                          40668 calls
| | V_xc                            :     29.114p                          40668 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     22.117u      0.117s      1.746w     12 calls
| | DFH: compute_JK()               :     22.117u      0.117s      1.746w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.667u      0.017s      0.203w     24 calls
| | | DFH: compute_K                :     19.433u      0.050s      1.481w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.650u      0.133s      0.279w     11 calls
HF: Form C                          :      1.100u      0.533s      0.572w     11 calls

**************************************************************************************
