
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:05:29 2026
Timers Off: Sun Aug  9 02:05:44 2026

Wall Time:       15.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.433u      0.017s      0.191w      1 calls
build grid                          :      1.317u      0.000s      0.119w      1 calls
post-process grid                   :      0.117u      0.017s      0.072w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.065w      1 calls
Libint2ERI::Libint2ERI              :      0.133u      0.000s      0.086w     10 calls
DFH: initialize()                   :     10.350u      2.117s      1.750w      1 calls
DFH: AO Construction                :      2.050u      0.000s      0.410w     26 calls
DFH: AO-Met. Contraction            :      7.300u      2.017s      0.898w     26 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.053w      1 calls
HF: Guess                           :      0.083u      0.067s      0.050w      1 calls
SAD Guess                           :      0.083u      0.067s      0.049w      1 calls
HF: Form G                          :    144.467u      0.433s     10.997w     12 calls
RV: Form V                          :    120.717u      0.300s      9.116w     12 calls
Properties                          :     37.519p                          40572 calls
Functional                          :      1.723p                          40572 calls
V_xc                                :     33.541p                          40572 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     23.717u      0.133s      1.874w     12 calls
DFH: compute_JK()                   :     23.700u      0.133s      1.874w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.767u      0.033s      0.218w     24 calls
DFH: compute_K                      :     20.883u      0.017s      1.591w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.683u      0.117s      0.291w     11 calls
HF: Form C                          :      1.167u      0.567s      0.630w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.433u      0.017s      0.191w      1 calls
| build grid                        :      1.317u      0.000s      0.119w      1 calls
| post-process grid                 :      0.117u      0.017s      0.072w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.065w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.043w      1 calls
DFH: initialize()                   :     10.350u      2.117s      1.750w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.043w      9 calls
| DFH: AO Construction              :      2.050u      0.000s      0.410w     26 calls
| DFH: AO-Met. Contraction          :      7.300u      2.017s      0.898w     26 calls
HF: Form core H                     :      0.117u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.053w      1 calls
HF: Guess                           :      0.083u      0.067s      0.050w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.049w      1 calls
HF: Form G                          :    144.467u      0.433s     10.997w     12 calls
| RV: Form V                        :    120.717u      0.300s      9.116w     12 calls
| | Properties                      :     37.519p                          40572 calls
| | Functional                      :      1.723p                          40572 calls
| | V_xc                            :     33.541p                          40572 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     23.717u      0.133s      1.874w     12 calls
| | DFH: compute_JK()               :     23.700u      0.133s      1.874w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.767u      0.033s      0.218w     24 calls
| | | DFH: compute_K                :     20.883u      0.017s      1.591w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.683u      0.117s      0.291w     11 calls
HF: Form C                          :      1.167u      0.567s      0.630w     11 calls

**************************************************************************************
