
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:07:14 2026
Timers Off: Sun Aug  9 02:08:19 2026

Wall Time:       64.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.183u      0.033s      0.573w      1 calls
build grid                          :      4.967u      0.033s      0.430w      1 calls
post-process grid                   :      0.217u      0.000s      0.142w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.162w      1 calls
Libint2ERI::Libint2ERI              :      0.517u      0.000s      0.318w     11 calls
JK: (A|Q)^-1                        :      3.517u      0.550s      1.389w      1 calls
JK: (A|mn)                          :      8.567u      0.233s      0.662w      1 calls
JK: (Q|mn)                          :     52.850u      0.083s      4.205w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.567s      0.978w      1 calls
HF: Form core H                     :      0.367u      0.000s      0.033w      1 calls
HF: Form S/X                        :      0.417u      0.100s      0.168w      1 calls
HF: Guess                           :      0.133u      0.050s      0.053w      1 calls
SAD Guess                           :      0.117u      0.050s      0.051w      1 calls
HF: Form G                          :    624.300u      8.250s     51.099w     12 calls
RV: Form V                          :    403.233u      0.700s     30.473w     12 calls
Properties                          :    130.829p                          62076 calls
Functional                          :      3.590p                          62076 calls
V_xc                                :    108.961p                          62076 calls
JK: D                               :      0.067u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :    220.967u      7.550s     20.610w     12 calls
JK: (Q|mn) Read                     :      0.100u      5.067s      3.091w     24 calls
JK: J                               :      5.850u      0.067s      0.562w     24 calls
JK: J1                              :      2.833u      0.067s      0.287w     24 calls
JK: J2                              :      3.000u      0.000s      0.260w     24 calls
JK: K                               :    214.983u      1.550s     16.472w     24 calls
JK: K1                              :    136.433u      1.217s     10.487w     24 calls
JK: K2                              :     78.533u      0.333s      5.983w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.017u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.333u      0.267s      0.618w     11 calls
HF: Form C                          :      5.683u      1.167s      2.585w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.183u      0.033s      0.573w      1 calls
| build grid                        :      4.967u      0.033s      0.430w      1 calls
| post-process grid                 :      0.217u      0.000s      0.142w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.162w      1 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.107w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.210w      2 calls
JK: (A|Q)^-1                        :      3.517u      0.550s      1.389w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      8.567u      0.233s      0.662w      1 calls
JK: (Q|mn)                          :     52.850u      0.083s      4.205w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.567s      0.978w      1 calls
HF: Form core H                     :      0.367u      0.000s      0.033w      1 calls
HF: Form S/X                        :      0.417u      0.100s      0.168w      1 calls
HF: Guess                           :      0.133u      0.050s      0.053w      1 calls
| SAD Guess                         :      0.117u      0.050s      0.051w      1 calls
HF: Form G                          :    624.300u      8.250s     51.099w     12 calls
| RV: Form V                        :    403.233u      0.700s     30.473w     12 calls
| | Properties                      :    130.829p                          62076 calls
| | Functional                      :      3.590p                          62076 calls
| | V_xc                            :    108.961p                          62076 calls
| JK: D                             :      0.067u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :    220.967u      7.550s     20.610w     12 calls
| | JK: (Q|mn) Read                 :      0.100u      5.067s      3.091w     24 calls
| | JK: J                           :      5.850u      0.067s      0.562w     24 calls
| | | JK: J1                        :      2.833u      0.067s      0.287w     24 calls
| | | JK: J2                        :      3.000u      0.000s      0.260w     24 calls
| | JK: K                           :    214.983u      1.550s     16.472w     24 calls
| | | JK: K1                        :    136.433u      1.217s     10.487w     24 calls
| | | JK: K2                        :     78.533u      0.333s      5.983w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.017u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.333u      0.267s      0.618w     11 calls
HF: Form C                          :      5.683u      1.167s      2.585w     11 calls

**************************************************************************************
