
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:08:20 2026
Timers Off: Sun Aug  9 02:09:29 2026

Wall Time:       69.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.233u      0.017s      0.574w      1 calls
build grid                          :      5.000u      0.017s      0.428w      1 calls
post-process grid                   :      0.233u      0.000s      0.146w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.160w      1 calls
Libint2ERI::Libint2ERI              :      0.517u      0.000s      0.316w     11 calls
JK: (A|Q)^-1                        :      3.783u      0.533s      1.362w      1 calls
JK: (A|mn)                          :      9.700u      0.250s      0.750w      1 calls
JK: (Q|mn)                          :     62.800u      0.233s      4.989w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.667s      0.938w      1 calls
HF: Form core H                     :      0.367u      0.000s      0.033w      1 calls
HF: Form S/X                        :      0.400u      0.083s      0.231w      1 calls
HF: Guess                           :      0.133u      0.067s      0.048w      1 calls
SAD Guess                           :      0.117u      0.067s      0.046w      1 calls
HF: Form G                          :    669.050u      9.133s     54.900w     12 calls
RV: Form V                          :    442.900u      0.817s     33.451w     12 calls
Properties                          :    143.562p                          61944 calls
Functional                          :      3.929p                          61944 calls
V_xc                                :    119.798p                          61944 calls
JK: D                               :      0.067u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :    226.050u      8.300s     21.430w     12 calls
JK: (Q|mn) Read                     :      0.083u      5.733s      3.478w     24 calls
JK: J                               :      6.050u      0.050s      0.570w     24 calls
JK: J1                              :      3.017u      0.033s      0.291w     24 calls
JK: J2                              :      3.000u      0.017s      0.262w     24 calls
JK: K                               :    219.867u      1.633s     16.861w     24 calls
JK: K1                              :    137.833u      1.300s     10.645w     24 calls
JK: K2                              :     82.033u      0.333s      6.213w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.004w     12 calls
HF: Form D                          :      0.017u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.383u      0.283s      0.678w     11 calls
HF: Form C                          :      5.933u      1.233s      2.739w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.233u      0.017s      0.574w      1 calls
| build grid                        :      5.000u      0.017s      0.428w      1 calls
| post-process grid                 :      0.233u      0.000s      0.146w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.160w      1 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.106w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.209w      2 calls
JK: (A|Q)^-1                        :      3.783u      0.533s      1.362w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      9.700u      0.250s      0.750w      1 calls
JK: (Q|mn)                          :     62.800u      0.233s      4.989w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.667s      0.938w      1 calls
HF: Form core H                     :      0.367u      0.000s      0.033w      1 calls
HF: Form S/X                        :      0.400u      0.083s      0.231w      1 calls
HF: Guess                           :      0.133u      0.067s      0.048w      1 calls
| SAD Guess                         :      0.117u      0.067s      0.046w      1 calls
HF: Form G                          :    669.050u      9.133s     54.900w     12 calls
| RV: Form V                        :    442.900u      0.817s     33.451w     12 calls
| | Properties                      :    143.562p                          61944 calls
| | Functional                      :      3.929p                          61944 calls
| | V_xc                            :    119.798p                          61944 calls
| JK: D                             :      0.067u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :    226.050u      8.300s     21.430w     12 calls
| | JK: (Q|mn) Read                 :      0.083u      5.733s      3.478w     24 calls
| | JK: J                           :      6.050u      0.050s      0.570w     24 calls
| | | JK: J1                        :      3.017u      0.033s      0.291w     24 calls
| | | JK: J2                        :      3.000u      0.017s      0.262w     24 calls
| | JK: K                           :    219.867u      1.633s     16.861w     24 calls
| | | JK: K1                        :    137.833u      1.300s     10.645w     24 calls
| | | JK: K2                        :     82.033u      0.333s      6.213w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.004w     12 calls
HF: Form D                          :      0.017u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.383u      0.283s      0.678w     11 calls
HF: Form C                          :      5.933u      1.233s      2.739w     11 calls

**************************************************************************************
