
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:09:30 2026
Timers Off: Sun Aug  9 02:10:47 2026

Wall Time:       77.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.150u      0.033s      0.567w      1 calls
build grid                          :      4.917u      0.017s      0.427w      1 calls
post-process grid                   :      0.233u      0.017s      0.139w      1 calls
DFH: sparsity prep                  :      0.283u      0.000s      0.171w      1 calls
Libint2ERI::Libint2ERI              :      0.550u      0.000s      0.331w     11 calls
JK: (A|Q)^-1                        :      3.767u      0.583s      1.390w      1 calls
JK: (A|mn)                          :     11.167u      0.333s      0.882w      1 calls
JK: (Q|mn)                          :     71.233u      0.183s      5.714w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.800s      0.951w      1 calls
HF: Form core H                     :      0.350u      0.000s      0.033w      1 calls
HF: Form S/X                        :      0.400u      0.083s      0.161w      1 calls
HF: Guess                           :      0.133u      0.050s      0.049w      1 calls
SAD Guess                           :      0.133u      0.050s      0.048w      1 calls
HF: Form G                          :    754.733u     10.150s     61.771w     13 calls
RV: Form V                          :    505.800u      0.783s     38.142w     13 calls
Properties                          :    164.842p                          66482 calls
Functional                          :      4.172p                          66482 calls
V_xc                                :    135.589p                          66482 calls
JK: D                               :      0.067u      0.000s      0.008w     13 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     13 calls
JK: JK                              :    248.867u      9.317s     23.610w     13 calls
JK: (Q|mn) Read                     :      0.133u      6.517s      3.977w     26 calls
JK: J                               :      6.800u      0.033s      0.624w     26 calls
JK: J1                              :      3.417u      0.033s      0.315w     26 calls
JK: J2                              :      3.367u      0.000s      0.290w     26 calls
JK: K                               :    241.917u      1.733s     18.420w     26 calls
JK: K1                              :    155.133u      1.350s     11.843w     26 calls
JK: K2                              :     86.783u      0.383s      6.575w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.004w     13 calls
HF: Form D                          :      0.067u      0.000s      0.006w     13 calls
HF: DIIS                            :      2.567u      0.267s      0.680w     12 calls
HF: Form C                          :      6.333u      1.317s      2.908w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.150u      0.033s      0.567w      1 calls
| build grid                        :      4.917u      0.017s      0.427w      1 calls
| post-process grid                 :      0.233u      0.017s      0.139w      1 calls
DFH: sparsity prep                  :      0.283u      0.000s      0.171w      1 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.111w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.000s      0.218w      2 calls
JK: (A|Q)^-1                        :      3.767u      0.583s      1.390w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     11.167u      0.333s      0.882w      1 calls
JK: (Q|mn)                          :     71.233u      0.183s      5.714w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.800s      0.951w      1 calls
HF: Form core H                     :      0.350u      0.000s      0.033w      1 calls
HF: Form S/X                        :      0.400u      0.083s      0.161w      1 calls
HF: Guess                           :      0.133u      0.050s      0.049w      1 calls
| SAD Guess                         :      0.133u      0.050s      0.048w      1 calls
HF: Form G                          :    754.733u     10.150s     61.771w     13 calls
| RV: Form V                        :    505.800u      0.783s     38.142w     13 calls
| | Properties                      :    164.842p                          66482 calls
| | Functional                      :      4.172p                          66482 calls
| | V_xc                            :    135.589p                          66482 calls
| JK: D                             :      0.067u      0.000s      0.008w     13 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     13 calls
| JK: JK                            :    248.867u      9.317s     23.610w     13 calls
| | JK: (Q|mn) Read                 :      0.133u      6.517s      3.977w     26 calls
| | JK: J                           :      6.800u      0.033s      0.624w     26 calls
| | | JK: J1                        :      3.417u      0.033s      0.315w     26 calls
| | | JK: J2                        :      3.367u      0.000s      0.290w     26 calls
| | JK: K                           :    241.917u      1.733s     18.420w     26 calls
| | | JK: K1                        :    155.133u      1.350s     11.843w     26 calls
| | | JK: K2                        :     86.783u      0.383s      6.575w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.004w     13 calls
HF: Form D                          :      0.067u      0.000s      0.006w     13 calls
HF: DIIS                            :      2.567u      0.267s      0.680w     12 calls
HF: Form C                          :      6.333u      1.317s      2.908w     12 calls

**************************************************************************************
