
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:12:06 2026
Timers Off: Sun Aug  9 02:12:38 2026

Wall Time:       32.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.283u      0.017s      0.295w      1 calls
build grid                          :      2.150u      0.017s      0.207w      1 calls
post-process grid                   :      0.133u      0.000s      0.087w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
Libint2ERI::Libint2ERI              :      0.217u      0.000s      0.137w     10 calls
DFH: initialize()                   :     26.383u      3.750s      3.850w      1 calls
DFH: AO Construction                :      4.800u      0.033s      0.926w     30 calls
DFH: AO-Met. Contraction            :     19.783u      3.567s      2.165w     30 calls
HF: Form core H                     :      0.283u      0.000s      0.028w      1 calls
HF: Form S/X                        :      0.317u      0.100s      0.150w      1 calls
HF: Guess                           :      0.117u      0.100s      0.072w      1 calls
SAD Guess                           :      0.117u      0.100s      0.070w      1 calls
HF: Form G                          :    317.267u      0.900s     24.206w     12 calls
RV: Form V                          :    248.133u      0.417s     18.727w     12 calls
Properties                          :     80.880p                          47292 calls
Functional                          :      2.897p                          47292 calls
V_xc                                :     65.835p                          47292 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     12 calls
JK: JK                              :     69.083u      0.467s      5.463w     12 calls
DFH: compute_JK()                   :     69.083u      0.467s      5.462w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      5.150u      0.067s      0.403w     24 calls
DFH: compute_K                      :     63.833u      0.133s      4.840w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.517u      0.217s      0.553w     11 calls
HF: Form C                          :      3.450u      1.117s      1.708w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.283u      0.017s      0.295w      1 calls
| build grid                        :      2.150u      0.017s      0.207w      1 calls
| post-process grid                 :      0.133u      0.000s      0.087w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.069w      1 calls
DFH: initialize()                   :     26.383u      3.750s      3.850w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.068w      9 calls
| DFH: AO Construction              :      4.800u      0.033s      0.926w     30 calls
| DFH: AO-Met. Contraction          :     19.783u      3.567s      2.165w     30 calls
HF: Form core H                     :      0.283u      0.000s      0.028w      1 calls
HF: Form S/X                        :      0.317u      0.100s      0.150w      1 calls
HF: Guess                           :      0.117u      0.100s      0.072w      1 calls
| SAD Guess                         :      0.117u      0.100s      0.070w      1 calls
HF: Form G                          :    317.267u      0.900s     24.206w     12 calls
| RV: Form V                        :    248.133u      0.417s     18.727w     12 calls
| | Properties                      :     80.880p                          47292 calls
| | Functional                      :      2.897p                          47292 calls
| | V_xc                            :     65.835p                          47292 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     12 calls
| JK: JK                            :     69.083u      0.467s      5.463w     12 calls
| | DFH: compute_JK()               :     69.083u      0.467s      5.462w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      5.150u      0.067s      0.403w     24 calls
| | | DFH: compute_K                :     63.833u      0.133s      4.840w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.517u      0.217s      0.553w     11 calls
HF: Form C                          :      3.450u      1.117s      1.708w     11 calls

**************************************************************************************
