
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:12:41 2026
Timers Off: Sun Aug  9 02:13:13 2026

Wall Time:       31.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.283u      0.017s      0.280w      1 calls
build grid                          :      2.167u      0.000s      0.198w      1 calls
post-process grid                   :      0.117u      0.017s      0.081w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
Libint2ERI::Libint2ERI              :      0.217u      0.000s      0.137w     10 calls
DFH: initialize()                   :     21.833u      3.383s      3.295w      1 calls
DFH: AO Construction                :      3.583u      0.017s      0.734w     30 calls
DFH: AO-Met. Contraction            :     16.467u      3.233s      1.822w     30 calls
HF: Form core H                     :      0.200u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.217u      0.083s      0.105w      1 calls
HF: Guess                           :      0.100u      0.067s      0.051w      1 calls
SAD Guess                           :      0.100u      0.067s      0.050w      1 calls
HF: Form G                          :    314.683u      0.800s     23.984w     12 calls
RV: Form V                          :    245.733u      0.333s     18.534w     12 calls
Properties                          :     79.856p                          47208 calls
Functional                          :      2.854p                          47208 calls
V_xc                                :     65.257p                          47208 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     68.867u      0.467s      5.436w     12 calls
DFH: compute_JK()                   :     68.867u      0.467s      5.435w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.017s      0.000w     24 calls
DFH: compute_J                      :      5.133u      0.083s      0.402w     24 calls
DFH: compute_K                      :     63.583u      0.100s      4.812w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.483u      0.217s      0.514w     11 calls
HF: Form C                          :      3.467u      1.100s      1.725w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.283u      0.017s      0.280w      1 calls
| build grid                        :      2.167u      0.000s      0.198w      1 calls
| post-process grid                 :      0.117u      0.017s      0.081w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.069w      1 calls
DFH: initialize()                   :     21.833u      3.383s      3.295w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.068w      9 calls
| DFH: AO Construction              :      3.583u      0.017s      0.734w     30 calls
| DFH: AO-Met. Contraction          :     16.467u      3.233s      1.822w     30 calls
HF: Form core H                     :      0.200u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.217u      0.083s      0.105w      1 calls
HF: Guess                           :      0.100u      0.067s      0.051w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.050w      1 calls
HF: Form G                          :    314.683u      0.800s     23.984w     12 calls
| RV: Form V                        :    245.733u      0.333s     18.534w     12 calls
| | Properties                      :     79.856p                          47208 calls
| | Functional                      :      2.854p                          47208 calls
| | V_xc                            :     65.257p                          47208 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     68.867u      0.467s      5.436w     12 calls
| | DFH: compute_JK()               :     68.867u      0.467s      5.435w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.017s      0.000w     24 calls
| | | DFH: compute_J                :      5.133u      0.083s      0.402w     24 calls
| | | DFH: compute_K                :     63.583u      0.100s      4.812w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.483u      0.217s      0.514w     11 calls
HF: Form C                          :      3.467u      1.100s      1.725w     11 calls

**************************************************************************************
