
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:13:17 2026
Timers Off: Sun Aug  9 02:13:48 2026

Wall Time:       31.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.283u      0.017s      0.280w      1 calls
build grid                          :      2.150u      0.000s      0.197w      1 calls
post-process grid                   :      0.133u      0.017s      0.082w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
Libint2ERI::Libint2ERI              :      0.217u      0.000s      0.137w     10 calls
DFH: initialize()                   :     21.700u      3.800s      3.350w      1 calls
DFH: AO Construction                :      3.450u      0.017s      0.744w     31 calls
DFH: AO-Met. Contraction            :     16.483u      3.617s      1.870w     31 calls
HF: Form core H                     :      0.167u      0.000s      0.018w      1 calls
HF: Form S/X                        :      0.200u      0.067s      0.092w      1 calls
HF: Guess                           :      0.100u      0.067s      0.050w      1 calls
SAD Guess                           :      0.083u      0.067s      0.049w      1 calls
HF: Form G                          :    322.733u      0.850s     24.607w     12 calls
RV: Form V                          :    253.383u      0.350s     19.100w     12 calls
Properties                          :     82.469p                          47112 calls
Functional                          :      2.835p                          47112 calls
V_xc                                :     67.266p                          47112 calls
JK: D                               :      0.033u      0.017s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :     69.283u      0.450s      5.491w     12 calls
DFH: compute_JK()                   :     69.283u      0.450s      5.491w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      5.300u      0.083s      0.410w     24 calls
DFH: compute_K                      :     63.900u      0.117s      4.866w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.583u      0.217s      0.532w     11 calls
HF: Form C                          :      3.517u      1.083s      1.729w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.283u      0.017s      0.280w      1 calls
| build grid                        :      2.150u      0.000s      0.197w      1 calls
| post-process grid                 :      0.133u      0.017s      0.082w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.069w      1 calls
DFH: initialize()                   :     21.700u      3.800s      3.350w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.068w      9 calls
| DFH: AO Construction              :      3.450u      0.017s      0.744w     31 calls
| DFH: AO-Met. Contraction          :     16.483u      3.617s      1.870w     31 calls
HF: Form core H                     :      0.167u      0.000s      0.018w      1 calls
HF: Form S/X                        :      0.200u      0.067s      0.092w      1 calls
HF: Guess                           :      0.100u      0.067s      0.050w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.049w      1 calls
HF: Form G                          :    322.733u      0.850s     24.607w     12 calls
| RV: Form V                        :    253.383u      0.350s     19.100w     12 calls
| | Properties                      :     82.469p                          47112 calls
| | Functional                      :      2.835p                          47112 calls
| | V_xc                            :     67.266p                          47112 calls
| JK: D                             :      0.033u      0.017s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :     69.283u      0.450s      5.491w     12 calls
| | DFH: compute_JK()               :     69.283u      0.450s      5.491w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      5.300u      0.083s      0.410w     24 calls
| | | DFH: compute_K                :     63.900u      0.117s      4.866w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.583u      0.217s      0.532w     11 calls
HF: Form C                          :      3.517u      1.083s      1.729w     11 calls

**************************************************************************************
