
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:13:52 2026
Timers Off: Sun Aug  9 02:14:23 2026

Wall Time:       31.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.267u      0.017s      0.281w      1 calls
build grid                          :      2.150u      0.000s      0.198w      1 calls
post-process grid                   :      0.117u      0.017s      0.083w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.105w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.138w     10 calls
DFH: initialize()                   :     21.567u      3.867s      3.263w      1 calls
DFH: AO Construction                :      3.550u      0.017s      0.704w     30 calls
DFH: AO-Met. Contraction            :     16.217u      3.717s      1.824w     30 calls
HF: Form core H                     :      0.200u      0.000s      0.019w      1 calls
HF: Form S/X                        :      0.217u      0.083s      0.105w      1 calls
HF: Guess                           :      0.100u      0.067s      0.050w      1 calls
SAD Guess                           :      0.100u      0.067s      0.049w      1 calls
HF: Form G                          :    315.517u      0.867s     24.049w     12 calls
RV: Form V                          :    245.783u      0.383s     18.539w     12 calls
Properties                          :     80.324p                          47064 calls
Functional                          :      2.862p                          47064 calls
V_xc                                :     64.841p                          47064 calls
JK: D                               :      0.067u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     69.650u      0.433s      5.497w     12 calls
DFH: compute_JK()                   :     69.633u      0.433s      5.496w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      5.167u      0.067s      0.400w     24 calls
DFH: compute_K                      :     64.383u      0.100s      4.879w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.550u      0.200s      0.537w     11 calls
HF: Form C                          :      3.533u      1.083s      1.760w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.267u      0.017s      0.281w      1 calls
| build grid                        :      2.150u      0.000s      0.198w      1 calls
| post-process grid                 :      0.117u      0.017s      0.083w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.105w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.069w      1 calls
DFH: initialize()                   :     21.567u      3.867s      3.263w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.069w      9 calls
| DFH: AO Construction              :      3.550u      0.017s      0.704w     30 calls
| DFH: AO-Met. Contraction          :     16.217u      3.717s      1.824w     30 calls
HF: Form core H                     :      0.200u      0.000s      0.019w      1 calls
HF: Form S/X                        :      0.217u      0.083s      0.105w      1 calls
HF: Guess                           :      0.100u      0.067s      0.050w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.049w      1 calls
HF: Form G                          :    315.517u      0.867s     24.049w     12 calls
| RV: Form V                        :    245.783u      0.383s     18.539w     12 calls
| | Properties                      :     80.324p                          47064 calls
| | Functional                      :      2.862p                          47064 calls
| | V_xc                            :     64.841p                          47064 calls
| JK: D                             :      0.067u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     69.650u      0.433s      5.497w     12 calls
| | DFH: compute_JK()               :     69.633u      0.433s      5.496w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      5.167u      0.067s      0.400w     24 calls
| | | DFH: compute_K                :     64.383u      0.100s      4.879w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.550u      0.200s      0.537w     11 calls
HF: Form C                          :      3.533u      1.083s      1.760w     11 calls

**************************************************************************************
