
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:15:02 2026
Timers Off: Sun Aug  9 02:15:34 2026

Wall Time:       31.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.050u      0.017s      0.254w      1 calls
build grid                          :      1.917u      0.000s      0.173w      1 calls
post-process grid                   :      0.133u      0.017s      0.081w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.103w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.136w     10 calls
DFH: initialize()                   :     22.883u      3.450s      3.372w      1 calls
DFH: AO Construction                :      3.950u      0.033s      0.723w     28 calls
DFH: AO-Met. Contraction            :     16.950u      3.267s      1.903w     28 calls
HF: Form core H                     :      0.267u      0.000s      0.026w      1 calls
HF: Form S/X                        :      0.317u      0.117s      0.149w      1 calls
HF: Guess                           :      0.133u      0.100s      0.077w      1 calls
SAD Guess                           :      0.133u      0.100s      0.075w      1 calls
HF: Form G                          :    315.433u      1.300s     24.420w     12 calls
RV: Form V                          :    245.083u      0.717s     18.751w     12 calls
Properties                          :     80.950p                          45504 calls
Functional                          :      2.997p                          45504 calls
V_xc                                :     65.790p                          45504 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     70.317u      0.567s      5.653w     12 calls
DFH: compute_JK()                   :     70.317u      0.567s      5.652w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      5.033u      0.033s      0.395w     24 calls
DFH: compute_K                      :     65.133u      0.267s      5.022w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.667u      0.217s      0.549w     11 calls
HF: Form C                          :      3.550u      1.100s      1.766w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.050u      0.017s      0.254w      1 calls
| build grid                        :      1.917u      0.000s      0.173w      1 calls
| post-process grid                 :      0.133u      0.017s      0.081w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.103w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.068w      1 calls
DFH: initialize()                   :     22.883u      3.450s      3.372w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.068w      9 calls
| DFH: AO Construction              :      3.950u      0.033s      0.723w     28 calls
| DFH: AO-Met. Contraction          :     16.950u      3.267s      1.903w     28 calls
HF: Form core H                     :      0.267u      0.000s      0.026w      1 calls
HF: Form S/X                        :      0.317u      0.117s      0.149w      1 calls
HF: Guess                           :      0.133u      0.100s      0.077w      1 calls
| SAD Guess                         :      0.133u      0.100s      0.075w      1 calls
HF: Form G                          :    315.433u      1.300s     24.420w     12 calls
| RV: Form V                        :    245.083u      0.717s     18.751w     12 calls
| | Properties                      :     80.950p                          45504 calls
| | Functional                      :      2.997p                          45504 calls
| | V_xc                            :     65.790p                          45504 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     70.317u      0.567s      5.653w     12 calls
| | DFH: compute_JK()               :     70.317u      0.567s      5.652w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      5.033u      0.033s      0.395w     24 calls
| | | DFH: compute_K                :     65.133u      0.267s      5.022w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.667u      0.217s      0.549w     11 calls
HF: Form C                          :      3.550u      1.100s      1.766w     11 calls

**************************************************************************************
