
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:15:37 2026
Timers Off: Sun Aug  9 02:16:12 2026

Wall Time:       34.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.017u      0.017s      0.259w      1 calls
build grid                          :      1.900u      0.000s      0.177w      1 calls
post-process grid                   :      0.117u      0.017s      0.082w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.102w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.136w     10 calls
DFH: initialize()                   :     20.983u      3.500s      3.186w      1 calls
DFH: AO Construction                :      3.467u      0.000s      0.686w     29 calls
DFH: AO-Met. Contraction            :     15.800u      3.333s      1.789w     29 calls
HF: Form core H                     :      0.183u      0.017s      0.019w      1 calls
HF: Form S/X                        :      0.233u      0.067s      0.106w      1 calls
HF: Guess                           :      0.100u      0.067s      0.050w      1 calls
SAD Guess                           :      0.100u      0.067s      0.049w      1 calls
HF: Form G                          :    350.600u      1.283s     26.936w     13 calls
RV: Form V                          :    274.767u      0.667s     20.888w     13 calls
Properties                          :     90.181p                          49543 calls
Functional                          :      3.184p                          49543 calls
V_xc                                :     73.463p                          49543 calls
JK: D                               :      0.083u      0.000s      0.004w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :     75.750u      0.600s      6.032w     13 calls
DFH: compute_JK()                   :     75.750u      0.600s      6.031w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     26 calls
DFH: compute_J                      :      5.550u      0.067s      0.433w     26 calls
DFH: compute_K                      :     70.117u      0.183s      5.351w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.000u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.783u      0.217s      0.572w     12 calls
HF: Form C                          :      3.850u      1.183s      1.885w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.017u      0.017s      0.259w      1 calls
| build grid                        :      1.900u      0.000s      0.177w      1 calls
| post-process grid                 :      0.117u      0.017s      0.082w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.102w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.068w      1 calls
DFH: initialize()                   :     20.983u      3.500s      3.186w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.069w      9 calls
| DFH: AO Construction              :      3.467u      0.000s      0.686w     29 calls
| DFH: AO-Met. Contraction          :     15.800u      3.333s      1.789w     29 calls
HF: Form core H                     :      0.183u      0.017s      0.019w      1 calls
HF: Form S/X                        :      0.233u      0.067s      0.106w      1 calls
HF: Guess                           :      0.100u      0.067s      0.050w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.049w      1 calls
HF: Form G                          :    350.600u      1.283s     26.936w     13 calls
| RV: Form V                        :    274.767u      0.667s     20.888w     13 calls
| | Properties                      :     90.181p                          49543 calls
| | Functional                      :      3.184p                          49543 calls
| | V_xc                            :     73.463p                          49543 calls
| JK: D                             :      0.083u      0.000s      0.004w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :     75.750u      0.600s      6.032w     13 calls
| | DFH: compute_JK()               :     75.750u      0.600s      6.031w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     26 calls
| | | DFH: compute_J                :      5.550u      0.067s      0.433w     26 calls
| | | DFH: compute_K                :     70.117u      0.183s      5.351w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.000u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.783u      0.217s      0.572w     12 calls
HF: Form C                          :      3.850u      1.183s      1.885w     12 calls

**************************************************************************************
