
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:16:13 2026
Timers Off: Sun Aug  9 02:16:45 2026

Wall Time:       32.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.100u      0.017s      0.255w      1 calls
build grid                          :      1.967u      0.000s      0.170w      1 calls
post-process grid                   :      0.133u      0.017s      0.085w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
Libint2ERI::Libint2ERI              :      0.217u      0.000s      0.137w     10 calls
DFH: initialize()                   :     28.167u      3.450s      4.098w      1 calls
DFH: AO Construction                :      5.200u      0.033s      0.974w     29 calls
DFH: AO-Met. Contraction            :     20.750u      3.233s      2.357w     29 calls
HF: Form core H                     :      0.300u      0.017s      0.030w      1 calls
HF: Form S/X                        :      0.350u      0.100s      0.162w      1 calls
HF: Guess                           :      0.133u      0.100s      0.075w      1 calls
SAD Guess                           :      0.133u      0.100s      0.073w      1 calls
HF: Form G                          :    314.733u      0.883s     24.042w     12 calls
RV: Form V                          :    246.100u      0.400s     18.618w     12 calls
Properties                          :     79.615p                          45516 calls
Functional                          :      2.899p                          45516 calls
V_xc                                :     65.962p                          45516 calls
JK: D                               :      0.067u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     68.567u      0.450s      5.412w     12 calls
DFH: compute_JK()                   :     68.567u      0.450s      5.411w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.950u      0.050s      0.384w     24 calls
DFH: compute_K                      :     63.517u      0.150s      4.810w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.633u      0.217s      0.530w     11 calls
HF: Form C                          :      3.567u      1.083s      1.750w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.100u      0.017s      0.255w      1 calls
| build grid                        :      1.967u      0.000s      0.170w      1 calls
| post-process grid                 :      0.133u      0.017s      0.085w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.069w      1 calls
DFH: initialize()                   :     28.167u      3.450s      4.098w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.068w      9 calls
| DFH: AO Construction              :      5.200u      0.033s      0.974w     29 calls
| DFH: AO-Met. Contraction          :     20.750u      3.233s      2.357w     29 calls
HF: Form core H                     :      0.300u      0.017s      0.030w      1 calls
HF: Form S/X                        :      0.350u      0.100s      0.162w      1 calls
HF: Guess                           :      0.133u      0.100s      0.075w      1 calls
| SAD Guess                         :      0.133u      0.100s      0.073w      1 calls
HF: Form G                          :    314.733u      0.883s     24.042w     12 calls
| RV: Form V                        :    246.100u      0.400s     18.618w     12 calls
| | Properties                      :     79.615p                          45516 calls
| | Functional                      :      2.899p                          45516 calls
| | V_xc                            :     65.962p                          45516 calls
| JK: D                             :      0.067u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     68.567u      0.450s      5.412w     12 calls
| | DFH: compute_JK()               :     68.567u      0.450s      5.411w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.950u      0.050s      0.384w     24 calls
| | | DFH: compute_K                :     63.517u      0.150s      4.810w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.633u      0.217s      0.530w     11 calls
HF: Form C                          :      3.567u      1.083s      1.750w     11 calls

**************************************************************************************
