
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:16:48 2026
Timers Off: Sun Aug  9 02:17:19 2026

Wall Time:       31.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.017u      0.017s      0.251w      1 calls
build grid                          :      1.883u      0.000s      0.174w      1 calls
post-process grid                   :      0.133u      0.017s      0.077w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.136w     10 calls
DFH: initialize()                   :     20.950u      3.467s      3.217w      1 calls
DFH: AO Construction                :      3.600u      0.017s      0.678w     29 calls
DFH: AO-Met. Contraction            :     15.600u      3.317s      1.822w     29 calls
HF: Form core H                     :      0.200u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.233u      0.083s      0.114w      1 calls
HF: Guess                           :      0.083u      0.067s      0.055w      1 calls
SAD Guess                           :      0.083u      0.067s      0.054w      1 calls
HF: Form G                          :    315.067u      0.917s     24.048w     12 calls
RV: Form V                          :    246.267u      0.433s     18.599w     12 calls
Properties                          :     79.437p                          45456 calls
Functional                          :      2.861p                          45456 calls
V_xc                                :     66.207p                          45456 calls
JK: D                               :      0.017u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     68.717u      0.467s      5.437w     12 calls
DFH: compute_JK()                   :     68.717u      0.467s      5.436w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.950u      0.033s      0.384w     24 calls
DFH: compute_K                      :     63.700u      0.183s      4.833w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.633u      0.233s      0.541w     11 calls
HF: Form C                          :      3.533u      1.083s      1.730w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.017u      0.017s      0.251w      1 calls
| build grid                        :      1.883u      0.000s      0.174w      1 calls
| post-process grid                 :      0.133u      0.017s      0.077w      1 calls
DFH: sparsity prep                  :      0.167u      0.000s      0.104w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.069w      1 calls
DFH: initialize()                   :     20.950u      3.467s      3.217w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.067w      9 calls
| DFH: AO Construction              :      3.600u      0.017s      0.678w     29 calls
| DFH: AO-Met. Contraction          :     15.600u      3.317s      1.822w     29 calls
HF: Form core H                     :      0.200u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.233u      0.083s      0.114w      1 calls
HF: Guess                           :      0.083u      0.067s      0.055w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.054w      1 calls
HF: Form G                          :    315.067u      0.917s     24.048w     12 calls
| RV: Form V                        :    246.267u      0.433s     18.599w     12 calls
| | Properties                      :     79.437p                          45456 calls
| | Functional                      :      2.861p                          45456 calls
| | V_xc                            :     66.207p                          45456 calls
| JK: D                             :      0.017u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     68.717u      0.467s      5.437w     12 calls
| | DFH: compute_JK()               :     68.717u      0.467s      5.436w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.950u      0.033s      0.384w     24 calls
| | | DFH: compute_K                :     63.700u      0.183s      4.833w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.633u      0.233s      0.541w     11 calls
HF: Form C                          :      3.533u      1.083s      1.730w     11 calls

**************************************************************************************
