
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:18:23 2026
Timers Off: Sun Aug  9 02:18:50 2026

Wall Time:       26.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.583u      0.017s      0.219w      1 calls
build grid                          :      1.450u      0.017s      0.137w      1 calls
post-process grid                   :      0.133u      0.000s      0.082w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.083w      1 calls
Libint2ERI::Libint2ERI              :      0.183u      0.000s      0.109w     10 calls
DFH: initialize()                   :     18.100u      3.033s      2.844w      1 calls
DFH: AO Construction                :      3.500u      0.017s      0.750w     29 calls
DFH: AO-Met. Contraction            :     13.217u      2.900s      1.511w     29 calls
HF: Form core H                     :      0.217u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.250u      0.100s      0.121w      1 calls
HF: Guess                           :      0.150u      0.133s      0.097w      1 calls
SAD Guess                           :      0.150u      0.133s      0.095w      1 calls
HF: Form G                          :    268.583u      0.617s     20.451w     13 calls
RV: Form V                          :    215.483u      0.333s     16.270w     13 calls
Properties                          :     68.956p                          45292 calls
Functional                          :      2.848p                          45292 calls
V_xc                                :     57.999p                          45292 calls
JK: D                               :      0.000u      0.000s      0.003w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :     53.100u      0.283s      4.171w     13 calls
DFH: compute_JK()                   :     53.100u      0.283s      4.170w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     26 calls
DFH: compute_J                      :      4.133u      0.033s      0.319w     26 calls
DFH: compute_K                      :     48.850u      0.083s      3.702w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.017u      0.017s      0.003w     13 calls
HF: DIIS                            :      1.300u      0.200s      0.493w     12 calls
HF: Form C                          :      2.733u      1.017s      1.399w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.583u      0.017s      0.219w      1 calls
| build grid                        :      1.450u      0.017s      0.137w      1 calls
| post-process grid                 :      0.133u      0.000s      0.082w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.083w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.055w      1 calls
DFH: initialize()                   :     18.100u      3.033s      2.844w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.054w      9 calls
| DFH: AO Construction              :      3.500u      0.017s      0.750w     29 calls
| DFH: AO-Met. Contraction          :     13.217u      2.900s      1.511w     29 calls
HF: Form core H                     :      0.217u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.250u      0.100s      0.121w      1 calls
HF: Guess                           :      0.150u      0.133s      0.097w      1 calls
| SAD Guess                         :      0.150u      0.133s      0.095w      1 calls
HF: Form G                          :    268.583u      0.617s     20.451w     13 calls
| RV: Form V                        :    215.483u      0.333s     16.270w     13 calls
| | Properties                      :     68.956p                          45292 calls
| | Functional                      :      2.848p                          45292 calls
| | V_xc                            :     57.999p                          45292 calls
| JK: D                             :      0.000u      0.000s      0.003w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :     53.100u      0.283s      4.171w     13 calls
| | DFH: compute_JK()               :     53.100u      0.283s      4.170w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     26 calls
| | | DFH: compute_J                :      4.133u      0.033s      0.319w     26 calls
| | | DFH: compute_K                :     48.850u      0.083s      3.702w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.017u      0.017s      0.003w     13 calls
HF: DIIS                            :      1.300u      0.200s      0.493w     12 calls
HF: Form C                          :      2.733u      1.017s      1.399w     12 calls

**************************************************************************************
