
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:18:54 2026
Timers Off: Sun Aug  9 02:19:17 2026

Wall Time:       23.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.567u      0.000s      0.197w      1 calls
build grid                          :      1.450u      0.000s      0.129w      1 calls
post-process grid                   :      0.117u      0.000s      0.068w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.081w      1 calls
Libint2ERI::Libint2ERI              :      0.183u      0.000s      0.107w     10 calls
DFH: initialize()                   :     13.733u      2.917s      2.309w      1 calls
DFH: AO Construction                :      2.367u      0.017s      0.526w     28 calls
DFH: AO-Met. Contraction            :     10.017u      2.783s      1.218w     28 calls
HF: Form core H                     :      0.150u      0.000s      0.014w      1 calls
HF: Form S/X                        :      0.133u      0.067s      0.070w      1 calls
HF: Guess                           :      0.117u      0.083s      0.060w      1 calls
SAD Guess                           :      0.117u      0.083s      0.060w      1 calls
HF: Form G                          :    233.467u      0.667s     17.818w     12 calls
RV: Form V                          :    185.550u      0.350s     14.022w     12 calls
Properties                          :     58.660p                          42036 calls
Functional                          :      2.579p                          42036 calls
V_xc                                :     50.658p                          42036 calls
JK: D                               :      0.000u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     47.917u      0.283s      3.786w     12 calls
DFH: compute_JK()                   :     47.917u      0.283s      3.785w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.683u      0.017s      0.284w     24 calls
DFH: compute_K                      :     44.183u      0.117s      3.357w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.283u      0.217s      0.518w     11 calls
HF: Form C                          :      2.567u      0.900s      1.297w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.567u      0.000s      0.197w      1 calls
| build grid                        :      1.450u      0.000s      0.129w      1 calls
| post-process grid                 :      0.117u      0.000s      0.068w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.081w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.054w      1 calls
DFH: initialize()                   :     13.733u      2.917s      2.309w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.054w      9 calls
| DFH: AO Construction              :      2.367u      0.017s      0.526w     28 calls
| DFH: AO-Met. Contraction          :     10.017u      2.783s      1.218w     28 calls
HF: Form core H                     :      0.150u      0.000s      0.014w      1 calls
HF: Form S/X                        :      0.133u      0.067s      0.070w      1 calls
HF: Guess                           :      0.117u      0.083s      0.060w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.060w      1 calls
HF: Form G                          :    233.467u      0.667s     17.818w     12 calls
| RV: Form V                        :    185.550u      0.350s     14.022w     12 calls
| | Properties                      :     58.660p                          42036 calls
| | Functional                      :      2.579p                          42036 calls
| | V_xc                            :     50.658p                          42036 calls
| JK: D                             :      0.000u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     47.917u      0.283s      3.786w     12 calls
| | DFH: compute_JK()               :     47.917u      0.283s      3.785w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.683u      0.017s      0.284w     24 calls
| | | DFH: compute_K                :     44.183u      0.117s      3.357w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.283u      0.217s      0.518w     11 calls
HF: Form C                          :      2.567u      0.900s      1.297w     11 calls

**************************************************************************************
