
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:19:19 2026
Timers Off: Sun Aug  9 02:19:45 2026

Wall Time:       26.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.017s      0.202w      1 calls
build grid                          :      1.450u      0.000s      0.128w      1 calls
post-process grid                   :      0.100u      0.017s      0.074w      1 calls
DFH: sparsity prep                  :      0.133u      0.017s      0.082w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.017s      0.108w     10 calls
DFH: initialize()                   :     15.000u      2.967s      2.461w      1 calls
DFH: AO Construction                :      2.733u      0.017s      0.581w     28 calls
DFH: AO-Met. Contraction            :     10.917u      2.833s      1.307w     28 calls
HF: Form core H                     :      0.183u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.183u      0.067s      0.093w      1 calls
HF: Guess                           :      0.133u      0.117s      0.079w      1 calls
SAD Guess                           :      0.133u      0.117s      0.078w      1 calls
HF: Form G                          :    264.633u      0.683s     20.184w     13 calls
RV: Form V                          :    211.733u      0.383s     16.008w     13 calls
Properties                          :     67.606p                          45409 calls
Functional                          :      2.854p                          45409 calls
V_xc                                :     57.269p                          45409 calls
JK: D                               :      0.033u      0.000s      0.004w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     13 calls
JK: JK                              :     52.833u      0.267s      4.163w     13 calls
DFH: compute_JK()                   :     52.833u      0.267s      4.162w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     26 calls
DFH: compute_J                      :      3.950u      0.017s      0.307w     26 calls
DFH: compute_K                      :     48.767u      0.050s      3.700w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.002w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.433u      0.183s      0.519w     12 calls
HF: Form C                          :      2.717u      1.050s      1.417w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.550u      0.017s      0.202w      1 calls
| build grid                        :      1.450u      0.000s      0.128w      1 calls
| post-process grid                 :      0.100u      0.017s      0.074w      1 calls
DFH: sparsity prep                  :      0.133u      0.017s      0.082w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.017s      0.054w      1 calls
DFH: initialize()                   :     15.000u      2.967s      2.461w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.054w      9 calls
| DFH: AO Construction              :      2.733u      0.017s      0.581w     28 calls
| DFH: AO-Met. Contraction          :     10.917u      2.833s      1.307w     28 calls
HF: Form core H                     :      0.183u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.183u      0.067s      0.093w      1 calls
HF: Guess                           :      0.133u      0.117s      0.079w      1 calls
| SAD Guess                         :      0.133u      0.117s      0.078w      1 calls
HF: Form G                          :    264.633u      0.683s     20.184w     13 calls
| RV: Form V                        :    211.733u      0.383s     16.008w     13 calls
| | Properties                      :     67.606p                          45409 calls
| | Functional                      :      2.854p                          45409 calls
| | V_xc                            :     57.269p                          45409 calls
| JK: D                             :      0.033u      0.000s      0.004w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     13 calls
| JK: JK                            :     52.833u      0.267s      4.163w     13 calls
| | DFH: compute_JK()               :     52.833u      0.267s      4.162w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     26 calls
| | | DFH: compute_J                :      3.950u      0.017s      0.307w     26 calls
| | | DFH: compute_K                :     48.767u      0.050s      3.700w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.002w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.433u      0.183s      0.519w     12 calls
HF: Form C                          :      2.717u      1.050s      1.417w     12 calls

**************************************************************************************
