
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:19:49 2026
Timers Off: Sun Aug  9 02:20:14 2026

Wall Time:       25.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.017s      0.200w      1 calls
build grid                          :      1.450u      0.000s      0.128w      1 calls
post-process grid                   :      0.100u      0.017s      0.072w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.082w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.108w     10 calls
DFH: initialize()                   :     14.117u      3.133s      2.327w      1 calls
DFH: AO Construction                :      2.500u      0.000s      0.521w     28 calls
DFH: AO-Met. Contraction            :     10.283u      3.000s      1.243w     28 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.150u      0.050s      0.065w      1 calls
HF: Guess                           :      0.100u      0.083s      0.059w      1 calls
SAD Guess                           :      0.083u      0.083s      0.058w      1 calls
HF: Form G                          :    257.900u      0.633s     19.658w     13 calls
RV: Form V                          :    206.333u      0.350s     15.601w     13 calls
Properties                          :     66.415p                          45526 calls
Functional                          :      2.748p                          45526 calls
V_xc                                :     55.287p                          45526 calls
JK: D                               :      0.017u      0.000s      0.003w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :     51.517u      0.283s      4.047w     13 calls
DFH: compute_JK()                   :     51.517u      0.283s      4.046w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     26 calls
DFH: compute_J                      :      3.983u      0.017s      0.314w     26 calls
DFH: compute_K                      :     47.467u      0.017s      3.593w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.317u      0.250s      0.510w     12 calls
HF: Form C                          :      2.783u      1.033s      1.414w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.550u      0.017s      0.200w      1 calls
| build grid                        :      1.450u      0.000s      0.128w      1 calls
| post-process grid                 :      0.100u      0.017s      0.072w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.082w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.054w      1 calls
DFH: initialize()                   :     14.117u      3.133s      2.327w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.054w      9 calls
| DFH: AO Construction              :      2.500u      0.000s      0.521w     28 calls
| DFH: AO-Met. Contraction          :     10.283u      3.000s      1.243w     28 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.150u      0.050s      0.065w      1 calls
HF: Guess                           :      0.100u      0.083s      0.059w      1 calls
| SAD Guess                         :      0.083u      0.083s      0.058w      1 calls
HF: Form G                          :    257.900u      0.633s     19.658w     13 calls
| RV: Form V                        :    206.333u      0.350s     15.601w     13 calls
| | Properties                      :     66.415p                          45526 calls
| | Functional                      :      2.748p                          45526 calls
| | V_xc                            :     55.287p                          45526 calls
| JK: D                             :      0.017u      0.000s      0.003w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :     51.517u      0.283s      4.047w     13 calls
| | DFH: compute_JK()               :     51.517u      0.283s      4.046w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     26 calls
| | | DFH: compute_J                :      3.983u      0.017s      0.314w     26 calls
| | | DFH: compute_K                :     47.467u      0.017s      3.593w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.317u      0.250s      0.510w     12 calls
HF: Form C                          :      2.783u      1.033s      1.414w     12 calls

**************************************************************************************
