
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:20:19 2026
Timers Off: Sun Aug  9 02:21:07 2026

Wall Time:       47.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.033u      0.017s      0.354w      1 calls
build grid                          :      2.867u      0.000s      0.248w      1 calls
post-process grid                   :      0.167u      0.017s      0.106w      1 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.121w      1 calls
Libint2ERI::Libint2ERI              :      0.383u      0.000s      0.238w     11 calls
JK: (A|Q)^-1                        :      2.317u      0.400s      0.865w      1 calls
JK: (A|mn)                          :      5.300u      0.167s      0.411w      1 calls
JK: (Q|mn)                          :     30.067u      0.050s      2.419w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.500s      0.519w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.250u      0.067s      0.105w      1 calls
HF: Guess                           :      0.100u      0.050s      0.048w      1 calls
SAD Guess                           :      0.100u      0.050s      0.047w      1 calls
HF: Form G                          :    468.167u      6.683s     38.617w     12 calls
RV: Form V                          :    323.750u      0.767s     24.595w     12 calls
Properties                          :    103.894p                          51708 calls
Functional                          :      3.378p                          51708 calls
V_xc                                :     89.213p                          51708 calls
JK: D                               :      0.033u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    144.367u      5.900s     14.009w     12 calls
JK: (Q|mn) Read                     :      0.033u      4.083s      2.495w     24 calls
JK: J                               :      4.267u      0.083s      0.394w     24 calls
JK: J1                              :      2.267u      0.083s      0.201w     24 calls
JK: J2                              :      2.000u      0.000s      0.180w     24 calls
JK: K                               :    140.017u      1.033s     10.730w     24 calls
JK: K1                              :     91.650u      0.850s      7.044w     24 calls
JK: K2                              :     48.367u      0.183s      3.684w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.050u      0.017s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.800u      0.200s      0.581w     11 calls
HF: Form C                          :      4.100u      1.100s      1.934w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.033u      0.017s      0.354w      1 calls
| build grid                        :      2.867u      0.000s      0.248w      1 calls
| post-process grid                 :      0.167u      0.017s      0.106w      1 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.121w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.080w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.000s      0.156w      2 calls
JK: (A|Q)^-1                        :      2.317u      0.400s      0.865w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.300u      0.167s      0.411w      1 calls
JK: (Q|mn)                          :     30.067u      0.050s      2.419w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.500s      0.519w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.250u      0.067s      0.105w      1 calls
HF: Guess                           :      0.100u      0.050s      0.048w      1 calls
| SAD Guess                         :      0.100u      0.050s      0.047w      1 calls
HF: Form G                          :    468.167u      6.683s     38.617w     12 calls
| RV: Form V                        :    323.750u      0.767s     24.595w     12 calls
| | Properties                      :    103.894p                          51708 calls
| | Functional                      :      3.378p                          51708 calls
| | V_xc                            :     89.213p                          51708 calls
| JK: D                             :      0.033u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    144.367u      5.900s     14.009w     12 calls
| | JK: (Q|mn) Read                 :      0.033u      4.083s      2.495w     24 calls
| | JK: J                           :      4.267u      0.083s      0.394w     24 calls
| | | JK: J1                        :      2.267u      0.083s      0.201w     24 calls
| | | JK: J2                        :      2.000u      0.000s      0.180w     24 calls
| | JK: K                           :    140.017u      1.033s     10.730w     24 calls
| | | JK: K1                        :     91.650u      0.850s      7.044w     24 calls
| | | JK: K2                        :     48.367u      0.183s      3.684w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.050u      0.017s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.800u      0.200s      0.581w     11 calls
HF: Form C                          :      4.100u      1.100s      1.934w     11 calls

**************************************************************************************
