
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:23:06 2026
Timers Off: Sun Aug  9 02:23:55 2026

Wall Time:       49.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.967u      0.033s      0.365w      1 calls
build grid                          :      2.800u      0.017s      0.256w      1 calls
post-process grid                   :      0.167u      0.017s      0.108w      1 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.122w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.017s      0.240w     11 calls
JK: (A|Q)^-1                        :      2.217u      0.400s      0.859w      1 calls
JK: (A|mn)                          :      5.317u      0.183s      0.414w      1 calls
JK: (Q|mn)                          :     31.483u      0.067s      2.546w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.533s      0.692w      1 calls
HF: Form core H                     :      0.217u      0.017s      0.160w      1 calls
HF: Form S/X                        :      0.267u      0.083s      0.114w      1 calls
HF: Guess                           :      0.117u      0.050s      0.046w      1 calls
SAD Guess                           :      0.117u      0.050s      0.045w      1 calls
HF: Form G                          :    481.100u      7.800s     40.048w     12 calls
RV: Form V                          :    333.167u      1.233s     25.564w     12 calls
Properties                          :    108.303p                          52332 calls
Functional                          :      3.549p                          52332 calls
V_xc                                :     92.316p                          52332 calls
JK: D                               :      0.033u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :    147.867u      6.550s     14.471w     12 calls
JK: (Q|mn) Read                     :      0.017u      4.133s      2.523w     24 calls
JK: J                               :      4.850u      0.417s      0.477w     24 calls
JK: J1                              :      2.717u      0.400s      0.271w     24 calls
JK: J2                              :      2.117u      0.017s      0.194w     24 calls
JK: K                               :    142.933u      1.267s     11.026w     24 calls
JK: K1                              :     93.617u      1.017s      7.260w     24 calls
JK: K2                              :     49.317u      0.233s      3.764w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.003w     12 calls
HF: Form D                          :      0.033u      0.017s      0.004w     12 calls
HF: DIIS                            :      1.833u      0.233s      0.589w     11 calls
HF: Form C                          :      4.150u      1.133s      1.942w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.967u      0.033s      0.365w      1 calls
| build grid                        :      2.800u      0.017s      0.256w      1 calls
| post-process grid                 :      0.167u      0.017s      0.108w      1 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.122w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.081w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.158w      2 calls
JK: (A|Q)^-1                        :      2.217u      0.400s      0.859w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      8 calls
JK: (A|mn)                          :      5.317u      0.183s      0.414w      1 calls
JK: (Q|mn)                          :     31.483u      0.067s      2.546w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.533s      0.692w      1 calls
HF: Form core H                     :      0.217u      0.017s      0.160w      1 calls
HF: Form S/X                        :      0.267u      0.083s      0.114w      1 calls
HF: Guess                           :      0.117u      0.050s      0.046w      1 calls
| SAD Guess                         :      0.117u      0.050s      0.045w      1 calls
HF: Form G                          :    481.100u      7.800s     40.048w     12 calls
| RV: Form V                        :    333.167u      1.233s     25.564w     12 calls
| | Properties                      :    108.303p                          52332 calls
| | Functional                      :      3.549p                          52332 calls
| | V_xc                            :     92.316p                          52332 calls
| JK: D                             :      0.033u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :    147.867u      6.550s     14.471w     12 calls
| | JK: (Q|mn) Read                 :      0.017u      4.133s      2.523w     24 calls
| | JK: J                           :      4.850u      0.417s      0.477w     24 calls
| | | JK: J1                        :      2.717u      0.400s      0.271w     24 calls
| | | JK: J2                        :      2.117u      0.017s      0.194w     24 calls
| | JK: K                           :    142.933u      1.267s     11.026w     24 calls
| | | JK: K1                        :     93.617u      1.017s      7.260w     24 calls
| | | JK: K2                        :     49.317u      0.233s      3.764w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.003w     12 calls
HF: Form D                          :      0.033u      0.017s      0.004w     12 calls
HF: DIIS                            :      1.833u      0.233s      0.589w     11 calls
HF: Form C                          :      4.150u      1.133s      1.942w     11 calls

**************************************************************************************
