
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:23:56 2026
Timers Off: Sun Aug  9 02:24:50 2026

Wall Time:       54.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.133u      0.017s      0.372w      1 calls
build grid                          :      2.950u      0.017s      0.256w      1 calls
post-process grid                   :      0.183u      0.000s      0.115w      1 calls
DFH: sparsity prep                  :      0.183u      0.017s      0.121w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.017s      0.237w     11 calls
JK: (A|Q)^-1                        :      2.217u      0.367s      0.871w      1 calls
JK: (A|mn)                          :      6.533u      0.200s      0.510w      1 calls
JK: (Q|mn)                          :     39.750u      0.100s      3.211w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.600s      0.608w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.283u      0.067s      0.125w      1 calls
HF: Guess                           :      0.117u      0.083s      0.055w      1 calls
SAD Guess                           :      0.117u      0.083s      0.054w      1 calls
HF: Form G                          :    489.833u      9.933s     44.201w     12 calls
RV: Form V                          :    339.717u      2.133s     27.830w     12 calls
Properties                          :    118.357p                          52152 calls
Functional                          :      3.999p                          52152 calls
V_xc                                :     99.871p                          52152 calls
JK: D                               :      0.083u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    150.000u      7.750s     16.354w     12 calls
JK: (Q|mn) Read                     :      0.033u      4.367s      2.717w     24 calls
JK: J                               :      4.800u      0.533s      0.525w     24 calls
JK: J1                              :      2.683u      0.500s      0.314w     24 calls
JK: J2                              :      2.100u      0.033s      0.198w     24 calls
JK: K                               :    145.117u      1.933s     12.554w     24 calls
JK: K1                              :     93.000u      1.533s      8.408w     24 calls
JK: K2                              :     52.100u      0.400s      4.144w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.950u      0.217s      0.587w     11 calls
HF: Form C                          :      4.250u      1.150s      2.017w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.133u      0.017s      0.372w      1 calls
| build grid                        :      2.950u      0.017s      0.256w      1 calls
| post-process grid                 :      0.183u      0.000s      0.115w      1 calls
DFH: sparsity prep                  :      0.183u      0.017s      0.121w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.080w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.000s      0.155w      2 calls
JK: (A|Q)^-1                        :      2.217u      0.367s      0.871w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      6.533u      0.200s      0.510w      1 calls
JK: (Q|mn)                          :     39.750u      0.100s      3.211w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.600s      0.608w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.283u      0.067s      0.125w      1 calls
HF: Guess                           :      0.117u      0.083s      0.055w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.054w      1 calls
HF: Form G                          :    489.833u      9.933s     44.201w     12 calls
| RV: Form V                        :    339.717u      2.133s     27.830w     12 calls
| | Properties                      :    118.357p                          52152 calls
| | Functional                      :      3.999p                          52152 calls
| | V_xc                            :     99.871p                          52152 calls
| JK: D                             :      0.083u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    150.000u      7.750s     16.354w     12 calls
| | JK: (Q|mn) Read                 :      0.033u      4.367s      2.717w     24 calls
| | JK: J                           :      4.800u      0.533s      0.525w     24 calls
| | | JK: J1                        :      2.683u      0.500s      0.314w     24 calls
| | | JK: J2                        :      2.100u      0.033s      0.198w     24 calls
| | JK: K                           :    145.117u      1.933s     12.554w     24 calls
| | | JK: K1                        :     93.000u      1.533s      8.408w     24 calls
| | | JK: K2                        :     52.100u      0.400s      4.144w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.950u      0.217s      0.587w     11 calls
HF: Form C                          :      4.250u      1.150s      2.017w     11 calls

**************************************************************************************
