
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:25:53 2026
Timers Off: Sun Aug  9 02:26:41 2026

Wall Time:       48.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.283u      0.033s      0.420w      1 calls
build grid                          :      3.050u      0.017s      0.277w      1 calls
post-process grid                   :      0.233u      0.017s      0.142w      1 calls
DFH: sparsity prep                  :      0.217u      0.017s      0.136w      1 calls
Libint2ERI::Libint2ERI              :      0.433u      0.017s      0.265w     11 calls
JK: (A|Q)^-1                        :      2.383u      0.367s      0.973w      1 calls
JK: (A|mn)                          :      6.617u      0.217s      0.529w      1 calls
JK: (Q|mn)                          :     37.467u      0.217s      3.179w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.600s      0.527w      1 calls
HF: Form core H                     :      0.250u      0.017s      0.026w      1 calls
HF: Form S/X                        :      0.317u      0.067s      0.140w      1 calls
HF: Guess                           :      0.117u      0.083s      0.062w      1 calls
SAD Guess                           :      0.117u      0.083s      0.061w      1 calls
HF: Form G                          :    439.783u      8.600s     37.802w     12 calls
RV: Form V                          :    303.150u      1.767s     24.152w     12 calls
Properties                          :    102.369p                          50664 calls
Functional                          :      3.777p                          50664 calls
V_xc                                :     86.587p                          50664 calls
JK: D                               :      0.067u      0.017s      0.007w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :    136.567u      6.817s     13.633w     12 calls
JK: (Q|mn) Read                     :      0.033u      3.967s      2.451w     24 calls
JK: J                               :      4.617u      0.450s      0.457w     24 calls
JK: J1                              :      2.583u      0.450s      0.264w     24 calls
JK: J2                              :      2.000u      0.000s      0.181w     24 calls
JK: K                               :    131.900u      1.733s     10.355w     24 calls
JK: K1                              :     84.233u      1.367s      6.640w     24 calls
JK: K2                              :     47.667u      0.350s      3.711w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.050u      0.017s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.800u      0.300s      0.628w     11 calls
HF: Form C                          :      3.967u      1.133s      1.909w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.283u      0.033s      0.420w      1 calls
| build grid                        :      3.050u      0.017s      0.277w      1 calls
| post-process grid                 :      0.233u      0.017s      0.142w      1 calls
DFH: sparsity prep                  :      0.217u      0.017s      0.136w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.017s      0.090w      1 calls
Libint2ERI::Libint2ERI              :      0.300u      0.000s      0.174w      2 calls
JK: (A|Q)^-1                        :      2.383u      0.367s      0.973w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      6.617u      0.217s      0.529w      1 calls
JK: (Q|mn)                          :     37.467u      0.217s      3.179w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.600s      0.527w      1 calls
HF: Form core H                     :      0.250u      0.017s      0.026w      1 calls
HF: Form S/X                        :      0.317u      0.067s      0.140w      1 calls
HF: Guess                           :      0.117u      0.083s      0.062w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.061w      1 calls
HF: Form G                          :    439.783u      8.600s     37.802w     12 calls
| RV: Form V                        :    303.150u      1.767s     24.152w     12 calls
| | Properties                      :    102.369p                          50664 calls
| | Functional                      :      3.777p                          50664 calls
| | V_xc                            :     86.587p                          50664 calls
| JK: D                             :      0.067u      0.017s      0.007w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :    136.567u      6.817s     13.633w     12 calls
| | JK: (Q|mn) Read                 :      0.033u      3.967s      2.451w     24 calls
| | JK: J                           :      4.617u      0.450s      0.457w     24 calls
| | | JK: J1                        :      2.583u      0.450s      0.264w     24 calls
| | | JK: J2                        :      2.000u      0.000s      0.181w     24 calls
| | JK: K                           :    131.900u      1.733s     10.355w     24 calls
| | | JK: K1                        :     84.233u      1.367s      6.640w     24 calls
| | | JK: K2                        :     47.667u      0.350s      3.711w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.050u      0.017s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.800u      0.300s      0.628w     11 calls
HF: Form C                          :      3.967u      1.133s      1.909w     11 calls

**************************************************************************************
