
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:26:43 2026
Timers Off: Sun Aug  9 02:27:29 2026

Wall Time:       45.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.700u      0.033s      0.323w      1 calls
build grid                          :      2.550u      0.017s      0.227w      1 calls
post-process grid                   :      0.150u      0.017s      0.096w      1 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.121w      1 calls
Libint2ERI::Libint2ERI              :      0.383u      0.017s      0.236w     11 calls
JK: (A|Q)^-1                        :      2.183u      0.367s      0.828w      1 calls
JK: (A|mn)                          :      5.417u      0.183s      0.422w      1 calls
JK: (Q|mn)                          :     33.233u      0.117s      2.679w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.617s      0.567w      1 calls
HF: Form core H                     :      0.250u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.300u      0.083s      0.137w      1 calls
HF: Guess                           :      0.117u      0.083s      0.058w      1 calls
SAD Guess                           :      0.117u      0.067s      0.057w      1 calls
HF: Form G                          :    433.433u      7.567s     36.350w     12 calls
RV: Form V                          :    298.633u      1.200s     23.031w     12 calls
Properties                          :     98.016p                          50760 calls
Functional                          :      3.524p                          50760 calls
V_xc                                :     82.443p                          50760 calls
JK: D                               :      0.050u      0.017s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.002w     12 calls
JK: JK                              :    134.733u      6.283s     13.303w     12 calls
JK: (Q|mn) Read                     :      0.083u      3.867s      2.382w     24 calls
JK: J                               :      4.383u      0.367s      0.432w     24 calls
JK: J1                              :      2.417u      0.367s      0.243w     24 calls
JK: J2                              :      1.950u      0.000s      0.177w     24 calls
JK: K                               :    130.267u      1.333s     10.071w     24 calls
JK: K1                              :     83.283u      1.050s      6.478w     24 calls
JK: K2                              :     46.983u      0.283s      3.592w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.033s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.817u      0.250s      0.681w     11 calls
HF: Form C                          :      4.133u      1.183s      1.973w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.700u      0.033s      0.323w      1 calls
| build grid                        :      2.550u      0.017s      0.227w      1 calls
| post-process grid                 :      0.150u      0.017s      0.096w      1 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.121w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.080w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.017s      0.155w      2 calls
JK: (A|Q)^-1                        :      2.183u      0.367s      0.828w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.417u      0.183s      0.422w      1 calls
JK: (Q|mn)                          :     33.233u      0.117s      2.679w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.617s      0.567w      1 calls
HF: Form core H                     :      0.250u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.300u      0.083s      0.137w      1 calls
HF: Guess                           :      0.117u      0.083s      0.058w      1 calls
| SAD Guess                         :      0.117u      0.067s      0.057w      1 calls
HF: Form G                          :    433.433u      7.567s     36.350w     12 calls
| RV: Form V                        :    298.633u      1.200s     23.031w     12 calls
| | Properties                      :     98.016p                          50760 calls
| | Functional                      :      3.524p                          50760 calls
| | V_xc                            :     82.443p                          50760 calls
| JK: D                             :      0.050u      0.017s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.002w     12 calls
| JK: JK                            :    134.733u      6.283s     13.303w     12 calls
| | JK: (Q|mn) Read                 :      0.083u      3.867s      2.382w     24 calls
| | JK: J                           :      4.383u      0.367s      0.432w     24 calls
| | | JK: J1                        :      2.417u      0.367s      0.243w     24 calls
| | | JK: J2                        :      1.950u      0.000s      0.177w     24 calls
| | JK: K                           :    130.267u      1.333s     10.071w     24 calls
| | | JK: K1                        :     83.283u      1.050s      6.478w     24 calls
| | | JK: K2                        :     46.983u      0.283s      3.592w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.033s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.817u      0.250s      0.681w     11 calls
HF: Form C                          :      4.133u      1.183s      1.973w     11 calls

**************************************************************************************
