
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:27:33 2026
Timers Off: Sun Aug  9 02:28:21 2026

Wall Time:       47.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.683u      0.017s      0.313w      1 calls
build grid                          :      2.533u      0.017s      0.221w      1 calls
post-process grid                   :      0.150u      0.000s      0.091w      1 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.121w      1 calls
Libint2ERI::Libint2ERI              :      0.400u      0.017s      0.237w     11 calls
JK: (A|Q)^-1                        :      2.133u      0.383s      0.821w      1 calls
JK: (A|mn)                          :      4.883u      0.150s      0.379w      1 calls
JK: (Q|mn)                          :     28.000u      0.083s      2.292w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.217s      0.135w      1 calls
HF: Form core H                     :      0.217u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.115w      1 calls
HF: Guess                           :      0.117u      0.083s      0.058w      1 calls
SAD Guess                           :      0.117u      0.083s      0.057w      1 calls
HF: Form G                          :    454.833u      8.250s     38.711w     12 calls
RV: Form V                          :    311.967u      1.617s     24.516w     12 calls
Properties                          :    104.680p                          50568 calls
Functional                          :      3.626p                          50568 calls
V_xc                                :     87.518p                          50568 calls
JK: D                               :      0.067u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    142.767u      6.633s     14.179w     12 calls
JK: (Q|mn) Read                     :      0.033u      4.050s      2.431w     24 calls
JK: J                               :      4.650u      0.450s      0.458w     24 calls
JK: J1                              :      2.617u      0.433s      0.262w     24 calls
JK: J2                              :      2.033u      0.017s      0.183w     24 calls
JK: K                               :    138.033u      1.650s     11.000w     24 calls
JK: K1                              :     90.683u      1.333s      7.281w     24 calls
JK: K2                              :     47.350u      0.317s      3.716w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.004w     12 calls
HF: Form D                          :      0.067u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.850u      0.283s      0.592w     11 calls
HF: Form C                          :      4.117u      1.217s      1.968w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.683u      0.017s      0.313w      1 calls
| build grid                        :      2.533u      0.017s      0.221w      1 calls
| post-process grid                 :      0.150u      0.000s      0.091w      1 calls
DFH: sparsity prep                  :      0.200u      0.000s      0.121w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.080w      1 calls
Libint2ERI::Libint2ERI              :      0.267u      0.000s      0.156w      2 calls
JK: (A|Q)^-1                        :      2.133u      0.383s      0.821w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      8 calls
JK: (A|mn)                          :      4.883u      0.150s      0.379w      1 calls
JK: (Q|mn)                          :     28.000u      0.083s      2.292w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.217s      0.135w      1 calls
HF: Form core H                     :      0.217u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.115w      1 calls
HF: Guess                           :      0.117u      0.083s      0.058w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.057w      1 calls
HF: Form G                          :    454.833u      8.250s     38.711w     12 calls
| RV: Form V                        :    311.967u      1.617s     24.516w     12 calls
| | Properties                      :    104.680p                          50568 calls
| | Functional                      :      3.626p                          50568 calls
| | V_xc                            :     87.518p                          50568 calls
| JK: D                             :      0.067u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    142.767u      6.633s     14.179w     12 calls
| | JK: (Q|mn) Read                 :      0.033u      4.050s      2.431w     24 calls
| | JK: J                           :      4.650u      0.450s      0.458w     24 calls
| | | JK: J1                        :      2.617u      0.433s      0.262w     24 calls
| | | JK: J2                        :      2.033u      0.017s      0.183w     24 calls
| | JK: K                           :    138.033u      1.650s     11.000w     24 calls
| | | JK: K1                        :     90.683u      1.333s      7.281w     24 calls
| | | JK: K2                        :     47.350u      0.317s      3.716w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.004w     12 calls
HF: Form D                          :      0.067u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.850u      0.283s      0.592w     11 calls
HF: Form C                          :      4.117u      1.217s      1.968w     11 calls

**************************************************************************************
