
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:28:24 2026
Timers Off: Sun Aug  9 02:29:12 2026

Wall Time:       48.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.767u      0.033s      0.334w      1 calls
build grid                          :      2.600u      0.017s      0.230w      1 calls
post-process grid                   :      0.167u      0.017s      0.103w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.120w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.000s      0.235w     11 calls
JK: (A|Q)^-1                        :      2.167u      0.367s      0.835w      1 calls
JK: (A|mn)                          :      5.183u      0.167s      0.408w      1 calls
JK: (Q|mn)                          :     31.917u      0.083s      2.592w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.250s      0.153w      1 calls
HF: Form core H                     :      0.233u      0.017s      0.023w      1 calls
HF: Form S/X                        :      0.283u      0.067s      0.127w      1 calls
HF: Guess                           :      0.117u      0.083s      0.058w      1 calls
SAD Guess                           :      0.117u      0.083s      0.057w      1 calls
HF: Form G                          :    463.883u      7.350s     38.814w     12 calls
RV: Form V                          :    322.433u      1.183s     24.960w     12 calls
Properties                          :    106.846p                          50304 calls
Functional                          :      3.518p                          50304 calls
V_xc                                :     88.905p                          50304 calls
JK: D                               :      0.050u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :    141.383u      6.150s     13.839w     12 calls
JK: (Q|mn) Read                     :      0.017u      4.000s      2.455w     24 calls
JK: J                               :      4.433u      0.283s      0.436w     24 calls
JK: J1                              :      2.383u      0.283s      0.234w     24 calls
JK: J2                              :      2.033u      0.000s      0.190w     24 calls
JK: K                               :    136.850u      1.400s     10.678w     24 calls
JK: K1                              :     88.267u      1.083s      6.913w     24 calls
JK: K2                              :     48.583u      0.317s      3.763w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.850u      0.250s      0.629w     11 calls
HF: Form C                          :      4.117u      1.167s      1.955w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.767u      0.033s      0.334w      1 calls
| build grid                        :      2.600u      0.017s      0.230w      1 calls
| post-process grid                 :      0.167u      0.017s      0.103w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.120w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.080w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.000s      0.155w      2 calls
JK: (A|Q)^-1                        :      2.167u      0.367s      0.835w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.183u      0.167s      0.408w      1 calls
JK: (Q|mn)                          :     31.917u      0.083s      2.592w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.250s      0.153w      1 calls
HF: Form core H                     :      0.233u      0.017s      0.023w      1 calls
HF: Form S/X                        :      0.283u      0.067s      0.127w      1 calls
HF: Guess                           :      0.117u      0.083s      0.058w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.057w      1 calls
HF: Form G                          :    463.883u      7.350s     38.814w     12 calls
| RV: Form V                        :    322.433u      1.183s     24.960w     12 calls
| | Properties                      :    106.846p                          50304 calls
| | Functional                      :      3.518p                          50304 calls
| | V_xc                            :     88.905p                          50304 calls
| JK: D                             :      0.050u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :    141.383u      6.150s     13.839w     12 calls
| | JK: (Q|mn) Read                 :      0.017u      4.000s      2.455w     24 calls
| | JK: J                           :      4.433u      0.283s      0.436w     24 calls
| | | JK: J1                        :      2.383u      0.283s      0.234w     24 calls
| | | JK: J2                        :      2.033u      0.000s      0.190w     24 calls
| | JK: K                           :    136.850u      1.400s     10.678w     24 calls
| | | JK: K1                        :     88.267u      1.083s      6.913w     24 calls
| | | JK: K2                        :     48.583u      0.317s      3.763w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.850u      0.250s      0.629w     11 calls
HF: Form C                          :      4.117u      1.167s      1.955w     11 calls

**************************************************************************************
