
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:29:29 2026
Timers Off: Sun Aug  9 02:29:45 2026

Wall Time:       15.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.950u      0.017s      0.143w      1 calls
build grid                          :      0.867u      0.017s      0.089w      1 calls
post-process grid                   :      0.083u      0.000s      0.054w      1 calls
DFH: sparsity prep                  :      0.100u      0.000s      0.052w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.017s      0.069w     10 calls
DFH: initialize()                   :      6.917u      1.517s      1.169w      1 calls
DFH: AO Construction                :      1.500u      0.033s      0.284w     22 calls
DFH: AO-Met. Contraction            :      4.717u      1.400s      0.569w     22 calls
HF: Form core H                     :      0.100u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.117u      0.067s      0.057w      1 calls
HF: Guess                           :      0.100u      0.083s      0.065w      1 calls
SAD Guess                           :      0.100u      0.083s      0.064w      1 calls
HF: Form G                          :    149.167u      0.683s     11.506w     12 calls
RV: Form V                          :    127.333u      0.533s      9.754w     12 calls
Properties                          :     38.977p                          35340 calls
Functional                          :      2.356p                          35340 calls
V_xc                                :     36.521p                          35340 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     21.833u      0.150s      1.744w     12 calls
DFH: compute_JK()                   :     21.833u      0.150s      1.743w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.217u      0.000s      0.171w     24 calls
DFH: compute_K                      :     19.600u      0.017s      1.501w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.083u      0.217s      0.510w     11 calls
HF: Form C                          :      1.567u      0.783s      0.847w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.950u      0.017s      0.143w      1 calls
| build grid                        :      0.867u      0.017s      0.089w      1 calls
| post-process grid                 :      0.083u      0.000s      0.054w      1 calls
DFH: sparsity prep                  :      0.100u      0.000s      0.052w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.035w      1 calls
DFH: initialize()                   :      6.917u      1.517s      1.169w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.034w      9 calls
| DFH: AO Construction              :      1.500u      0.033s      0.284w     22 calls
| DFH: AO-Met. Contraction          :      4.717u      1.400s      0.569w     22 calls
HF: Form core H                     :      0.100u      0.000s      0.012w      1 calls
HF: Form S/X                        :      0.117u      0.067s      0.057w      1 calls
HF: Guess                           :      0.100u      0.083s      0.065w      1 calls
| SAD Guess                         :      0.100u      0.083s      0.064w      1 calls
HF: Form G                          :    149.167u      0.683s     11.506w     12 calls
| RV: Form V                        :    127.333u      0.533s      9.754w     12 calls
| | Properties                      :     38.977p                          35340 calls
| | Functional                      :      2.356p                          35340 calls
| | V_xc                            :     36.521p                          35340 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     21.833u      0.150s      1.744w     12 calls
| | DFH: compute_JK()               :     21.833u      0.150s      1.743w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.217u      0.000s      0.171w     24 calls
| | | DFH: compute_K                :     19.600u      0.017s      1.501w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.083u      0.217s      0.510w     11 calls
HF: Form C                          :      1.567u      0.783s      0.847w     11 calls

**************************************************************************************
