
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:29:49 2026
Timers Off: Sun Aug  9 02:30:03 2026

Wall Time:       13.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.933u      0.017s      0.139w      1 calls
build grid                          :      0.850u      0.000s      0.088w      1 calls
post-process grid                   :      0.083u      0.017s      0.051w      1 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.052w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.017s      0.069w     10 calls
DFH: initialize()                   :      6.333u      1.350s      1.080w      1 calls
DFH: AO Construction                :      1.300u      0.000s      0.255w     22 calls
DFH: AO-Met. Contraction            :      4.333u      1.267s      0.515w     22 calls
HF: Form core H                     :      0.083u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.040w      1 calls
HF: Guess                           :      0.067u      0.050s      0.042w      1 calls
SAD Guess                           :      0.067u      0.050s      0.041w      1 calls
HF: Form G                          :    132.400u      0.517s     10.236w     12 calls
RV: Form V                          :    111.617u      0.383s      8.515w     12 calls
Properties                          :     33.882p                          35352 calls
Functional                          :      2.099p                          35352 calls
V_xc                                :     31.971p                          35352 calls
JK: D                               :      0.017u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     20.767u      0.117s      1.711w     12 calls
DFH: compute_JK()                   :     20.750u      0.117s      1.710w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.133u      0.017s      0.166w     24 calls
DFH: compute_K                      :     18.550u      0.050s      1.485w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.050u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.800u      0.133s      0.333w     11 calls
HF: Form C                          :      1.467u      0.717s      0.811w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.933u      0.017s      0.139w      1 calls
| build grid                        :      0.850u      0.000s      0.088w      1 calls
| post-process grid                 :      0.083u      0.017s      0.051w      1 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.052w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.035w      1 calls
DFH: initialize()                   :      6.333u      1.350s      1.080w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.034w      9 calls
| DFH: AO Construction              :      1.300u      0.000s      0.255w     22 calls
| DFH: AO-Met. Contraction          :      4.333u      1.267s      0.515w     22 calls
HF: Form core H                     :      0.083u      0.000s      0.009w      1 calls
HF: Form S/X                        :      0.083u      0.050s      0.040w      1 calls
HF: Guess                           :      0.067u      0.050s      0.042w      1 calls
| SAD Guess                         :      0.067u      0.050s      0.041w      1 calls
HF: Form G                          :    132.400u      0.517s     10.236w     12 calls
| RV: Form V                        :    111.617u      0.383s      8.515w     12 calls
| | Properties                      :     33.882p                          35352 calls
| | Functional                      :      2.099p                          35352 calls
| | V_xc                            :     31.971p                          35352 calls
| JK: D                             :      0.017u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     20.767u      0.117s      1.711w     12 calls
| | DFH: compute_JK()               :     20.750u      0.117s      1.710w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.133u      0.017s      0.166w     24 calls
| | | DFH: compute_K                :     18.550u      0.050s      1.485w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.050u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.800u      0.133s      0.333w     11 calls
HF: Form C                          :      1.467u      0.717s      0.811w     11 calls

**************************************************************************************
