
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:30:04 2026
Timers Off: Sun Aug  9 02:30:18 2026

Wall Time:       13.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.967u      0.000s      0.139w      1 calls
build grid                          :      0.883u      0.000s      0.085w      1 calls
post-process grid                   :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.052w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.069w     10 calls
DFH: initialize()                   :      6.350u      1.367s      1.077w      1 calls
DFH: AO Construction                :      1.317u      0.000s      0.256w     21 calls
DFH: AO-Met. Contraction            :      4.333u      1.283s      0.513w     21 calls
HF: Form core H                     :      0.100u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.052w      1 calls
HF: Guess                           :      0.083u      0.083s      0.057w      1 calls
SAD Guess                           :      0.083u      0.083s      0.056w      1 calls
HF: Form G                          :    127.833u      0.417s      9.746w     12 calls
RV: Form V                          :    107.717u      0.233s      8.143w     12 calls
Properties                          :     32.392p                          35340 calls
Functional                          :      2.142p                          35340 calls
V_xc                                :     30.449p                          35340 calls
JK: D                               :      0.000u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     20.117u      0.183s      1.595w     12 calls
DFH: compute_JK()                   :     20.100u      0.183s      1.594w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.833u      0.033s      0.148w     24 calls
DFH: compute_K                      :     18.200u      0.100s      1.385w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.967u      0.067s      0.439w     11 calls
HF: Form C                          :      1.467u      0.733s      0.801w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.967u      0.000s      0.139w      1 calls
| build grid                        :      0.883u      0.000s      0.085w      1 calls
| post-process grid                 :      0.083u      0.000s      0.053w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.052w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.035w      1 calls
DFH: initialize()                   :      6.350u      1.367s      1.077w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.034w      9 calls
| DFH: AO Construction              :      1.317u      0.000s      0.256w     21 calls
| DFH: AO-Met. Contraction          :      4.333u      1.283s      0.513w     21 calls
HF: Form core H                     :      0.100u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.052w      1 calls
HF: Guess                           :      0.083u      0.083s      0.057w      1 calls
| SAD Guess                         :      0.083u      0.083s      0.056w      1 calls
HF: Form G                          :    127.833u      0.417s      9.746w     12 calls
| RV: Form V                        :    107.717u      0.233s      8.143w     12 calls
| | Properties                      :     32.392p                          35340 calls
| | Functional                      :      2.142p                          35340 calls
| | V_xc                            :     30.449p                          35340 calls
| JK: D                             :      0.000u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     20.117u      0.183s      1.595w     12 calls
| | DFH: compute_JK()               :     20.100u      0.183s      1.594w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.833u      0.033s      0.148w     24 calls
| | | DFH: compute_K                :     18.200u      0.100s      1.385w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.967u      0.067s      0.439w     11 calls
HF: Form C                          :      1.467u      0.733s      0.801w     11 calls

**************************************************************************************
