
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:30:20 2026
Timers Off: Sun Aug  9 02:30:34 2026

Wall Time:       14.74 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.933u      0.000s      0.142w      1 calls
build grid                          :      0.850u      0.000s      0.088w      1 calls
post-process grid                   :      0.083u      0.000s      0.054w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.052w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.068w     10 calls
DFH: initialize()                   :      6.533u      1.833s      1.140w      1 calls
DFH: AO Construction                :      1.400u      0.000s      0.267w     22 calls
DFH: AO-Met. Contraction            :      4.450u      1.733s      0.567w     22 calls
HF: Form core H                     :      0.083u      0.017s      0.010w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.049w      1 calls
HF: Guess                           :      0.083u      0.067s      0.053w      1 calls
SAD Guess                           :      0.083u      0.067s      0.052w      1 calls
HF: Form G                          :    144.600u      0.400s     11.022w     12 calls
RV: Form V                          :    123.750u      0.317s      9.367w     12 calls
Properties                          :     36.867p                          35328 calls
Functional                          :      2.159p                          35328 calls
V_xc                                :     35.731p                          35328 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     20.833u      0.083s      1.648w     12 calls
DFH: compute_JK()                   :     20.833u      0.083s      1.647w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      2.017u      0.000s      0.161w     24 calls
DFH: compute_K                      :     18.783u      0.050s      1.424w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.950u      0.217s      0.450w     11 calls
HF: Form C                          :      1.483u      0.733s      0.815w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.933u      0.000s      0.142w      1 calls
| build grid                        :      0.850u      0.000s      0.088w      1 calls
| post-process grid                 :      0.083u      0.000s      0.054w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.052w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.034w      1 calls
DFH: initialize()                   :      6.533u      1.833s      1.140w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.034w      9 calls
| DFH: AO Construction              :      1.400u      0.000s      0.267w     22 calls
| DFH: AO-Met. Contraction          :      4.450u      1.733s      0.567w     22 calls
HF: Form core H                     :      0.083u      0.017s      0.010w      1 calls
HF: Form S/X                        :      0.100u      0.050s      0.049w      1 calls
HF: Guess                           :      0.083u      0.067s      0.053w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.052w      1 calls
HF: Form G                          :    144.600u      0.400s     11.022w     12 calls
| RV: Form V                        :    123.750u      0.317s      9.367w     12 calls
| | Properties                      :     36.867p                          35328 calls
| | Functional                      :      2.159p                          35328 calls
| | V_xc                            :     35.731p                          35328 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     20.833u      0.083s      1.648w     12 calls
| | DFH: compute_JK()               :     20.833u      0.083s      1.647w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      2.017u      0.000s      0.161w     24 calls
| | | DFH: compute_K                :     18.783u      0.050s      1.424w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.950u      0.217s      0.450w     11 calls
HF: Form C                          :      1.483u      0.733s      0.815w     11 calls

**************************************************************************************
